epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.866,2.11389,3.56125,1.72161,0.36305,0.36606,0.29432,0.11863,1.63481,7.29166,1.31492,0.00331169,0.00331169,0.00331169
2,222.894,1.96452,1.81665,1.5615,0.39734,0.333,0.28607,0.1134,1.85175,11.81,1.38504,0.00661213,0.00661213,0.00661213
3,327.951,2.12437,1.93105,1.65441,0.41713,0.31179,0.31129,0.1154,1.84189,12.4828,1.40622,0.00987957,0.00987957,0.00987957
4,431.931,2.19931,1.8382,1.70659,0.39303,0.35139,0.30782,0.11894,1.94924,9.23507,1.52842,0.0098515,0.0098515,0.0098515
5,537.009,2.1561,1.7441,1.6996,0.40775,0.3626,0.31504,0.12256,1.86604,10.0937,1.43113,0.009802,0.009802,0.009802
6,641.234,2.11374,1.66348,1.65237,0.32879,0.20523,0.17906,0.07088,2.08716,22.1909,1.55322,0.0097525,0.0097525,0.0097525
7,745.157,2.07113,1.64986,1.64853,0.38683,0.35126,0.31091,0.12302,1.78211,5.69894,1.41496,0.009703,0.009703,0.009703
8,849.645,2.02032,1.60454,1.62924,0.49345,0.46029,0.44287,0.19131,1.69653,3.16907,1.34807,0.0096535,0.0096535,0.0096535
9,954.969,1.98064,1.58008,1.6087,0.50825,0.40587,0.41072,0.16552,1.70049,2.58165,1.35535,0.009604,0.009604,0.009604
10,1060.16,1.95417,1.5223,1.58593,0.58539,0.47783,0.49294,0.22289,1.61904,2.90937,1.32881,0.0095545,0.0095545,0.0095545
11,1165.73,1.91418,1.52185,1.58138,0.4861,0.41293,0.41049,0.18098,1.63419,10.5331,1.34664,0.009505,0.009505,0.009505
12,1270.07,1.90969,1.45751,1.5614,0.50684,0.50173,0.44876,0.19616,1.64422,2.82573,1.33814,0.0094555,0.0094555,0.0094555
13,1373.77,1.92832,1.48028,1.56875,0.58224,0.50222,0.50763,0.24008,1.54819,1.32896,1.2915,0.009406,0.009406,0.009406
14,1478.2,1.85466,1.44082,1.54166,0.60837,0.50666,0.54097,0.25304,1.55549,1.2586,1.26906,0.0093565,0.0093565,0.0093565
15,1584.81,1.8416,1.43888,1.54699,0.5805,0.50469,0.5504,0.25185,1.55924,1.25557,1.29697,0.009307,0.009307,0.009307
16,1690.2,1.82365,1.39268,1.52842,0.61451,0.50097,0.53643,0.24655,1.535,1.86868,1.26037,0.0092575,0.0092575,0.0092575
17,1793.49,1.80259,1.33536,1.50133,0.60344,0.53971,0.5604,0.26506,1.56702,1.40689,1.29486,0.009208,0.009208,0.009208
18,1899.72,1.79659,1.36408,1.51176,0.58365,0.53478,0.54729,0.25608,1.5321,1.5251,1.26282,0.0091585,0.0091585,0.0091585
19,2003.74,1.75958,1.3479,1.52847,0.6386,0.54832,0.59182,0.29068,1.49059,1.32294,1.27146,0.009109,0.009109,0.009109
