epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6762,2.14292,3.70871,1.80875,0.3267,0.37381,0.26394,0.09632,1.86291,5.97858,1.5546,0.000660194,0.000660194,0.000660194
2,150.225,2.18608,1.9919,1.84392,0.28053,0.33492,0.23376,0.08357,2.01609,17.9822,1.67057,0.00132029,0.00132029,0.00132029
3,226.626,2.29404,1.97163,1.91646,0.31513,0.35873,0.27327,0.11012,2.05755,31.6857,1.62081,0.00197379,0.00197379,0.00197379
4,298.916,2.2001,1.87786,1.87989,0.38943,0.35873,0.30125,0.12288,1.78803,3.89269,1.51168,0.0019703,0.0019703,0.0019703
5,372.907,2.12734,1.8328,1.82454,0.39831,0.36111,0.34177,0.1429,1.85479,15.2402,1.48243,0.0019604,0.0019604,0.0019604
6,446.803,2.06003,1.70621,1.77451,0.43104,0.44524,0.40449,0.17465,1.66548,1.97858,1.38065,0.0019505,0.0019505,0.0019505
7,519.904,2.0424,1.72471,1.77306,0.48431,0.4405,0.42999,0.18952,1.6267,1.34893,1.37699,0.0019406,0.0019406,0.0019406
8,593.528,2.00079,1.6071,1.72835,0.61937,0.4119,0.45951,0.20594,1.62707,3.00663,1.37158,0.0019307,0.0019307,0.0019307
9,667.762,1.94483,1.5789,1.6695,0.45951,0.39444,0.40226,0.1713,1.73593,1.7073,1.41819,0.0019208,0.0019208,0.0019208
10,739.964,1.93994,1.55158,1.67846,0.58883,0.51508,0.53936,0.24577,1.59345,2.20341,1.33718,0.0019109,0.0019109,0.0019109
11,812.157,1.90047,1.47965,1.66853,0.60926,0.49127,0.53601,0.25292,1.51108,2.42068,1.32373,0.001901,0.001901,0.001901
12,886.506,1.84858,1.45016,1.64171,0.63887,0.49206,0.55944,0.2486,1.61875,1.34593,1.34623,0.0018911,0.0018911,0.0018911
13,958.438,1.81711,1.4449,1.60665,0.59262,0.50222,0.53822,0.24918,1.59443,1.36372,1.32406,0.0018812,0.0018812,0.0018812
14,1030.96,1.82621,1.44566,1.65122,0.66388,0.51587,0.58852,0.28294,1.44624,1.59873,1.25742,0.0018713,0.0018713,0.0018713
15,1104.05,1.81945,1.42215,1.61403,0.6348,0.57063,0.59573,0.28009,1.47793,1.29912,1.28899,0.0018614,0.0018614,0.0018614
16,1174.25,1.79012,1.37267,1.60571,0.63981,0.56032,0.60754,0.30811,1.43887,1.08153,1.25905,0.0018515,0.0018515,0.0018515
17,1247.95,1.77694,1.38989,1.56598,0.57237,0.50556,0.53718,0.24619,1.57861,3.29848,1.29609,0.0018416,0.0018416,0.0018416
18,1319.5,1.74887,1.351,1.60213,0.61821,0.55159,0.58663,0.28286,1.48689,1.21652,1.25922,0.0018317,0.0018317,0.0018317
19,1391.15,1.71676,1.32373,1.55283,0.6671,0.57381,0.62618,0.31243,1.44717,1.09144,1.23796,0.0018218,0.0018218,0.0018218
20,1464.56,1.71818,1.31753,1.5631,0.60393,0.55476,0.58626,0.28283,1.48361,1.12056,1.27193,0.0018119,0.0018119,0.0018119
21,1536.17,1.70647,1.31554,1.54178,0.58824,0.51111,0.55849,0.28436,1.42241,1.85609,1.23988,0.001802,0.001802,0.001802
22,1606.9,1.66146,1.29308,1.52959,0.66326,0.60714,0.65262,0.34068,1.37178,0.93238,1.22614,0.0017921,0.0017921,0.0017921
