epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2047,2.2449,4.04253,1.79987,0.28068,0.32535,0.21222,0.07368,1.40775,8.56676,1.08636,0.000662132,0.000662132,0.000662132
2,160.7,2.43396,2.12607,1.86612,0.01815,0.40652,0.01221,0.00418,1.81142,inf,1.38703,0.00132222,0.00132222,0.00132222
3,235.409,2.35855,2.40898,1.81284,0.34253,0.32003,0.25994,0.091,1.45439,13.2075,1.03402,0.00197571,0.00197571,0.00197571
4,314.48,2.38003,2.04067,1.84941,0.32424,0.3253,0.23994,0.07995,1.4423,4.8703,1.08489,0.0019703,0.0019703,0.0019703
5,389.527,2.30531,1.86977,1.79556,0.40411,0.35795,0.33043,0.12802,1.2754,7.71651,1.01215,0.0019604,0.0019604,0.0019604
6,466.952,2.21464,1.8327,1.76769,0.36919,0.27412,0.25313,0.09506,1.37221,4.4357,1.1273,0.0019505,0.0019505,0.0019505
7,541.079,2.20345,1.77369,1.73105,0.37502,0.34731,0.3151,0.1297,1.27965,2.41827,1.00162,0.0019406,0.0019406,0.0019406
8,617.598,2.10503,1.72731,1.68582,0.53898,0.4338,0.44644,0.18295,1.20576,4.67355,0.94806,0.0019307,0.0019307,0.0019307
9,693.64,2.04914,1.64629,1.6562,0.52891,0.42249,0.44879,0.19852,1.19396,1.05828,0.94484,0.0019208,0.0019208,0.0019208
10,770.974,2.08317,1.63808,1.63296,0.43707,0.44777,0.39077,0.16402,1.22158,1.25559,0.95736,0.0019109,0.0019109,0.0019109
11,844.838,2.00191,1.64117,1.60533,0.48823,0.43912,0.43691,0.18795,1.17926,0.97862,0.92692,0.001901,0.001901,0.001901
12,920.606,1.96533,1.54759,1.58195,0.47243,0.44711,0.4193,0.17502,1.17719,1.10941,0.93456,0.0018911,0.0018911,0.0018911
