epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.479,2.30797,4.00391,1.80514,0.01511,0.39504,0.01075,0.00414,2.08793,240.706,1.87034,0.000660194,0.000660194,0.000660194
2,153.391,2.32011,2.0596,1.9117,0.28567,0.25174,0.1931,0.06999,2.3156,27.0315,2.08555,0.00132029,0.00132029,0.00132029
3,229.407,2.38962,2.12415,1.97471,0.34055,0.24942,0.2347,0.08499,2.29698,5.10662,1.92377,0.00197379,0.00197379,0.00197379
4,301.131,2.31651,1.97196,1.93702,0.40099,0.31061,0.29153,0.11104,2.04432,2.07016,1.71361,0.0019703,0.0019703,0.0019703
5,373.693,2.17679,1.86618,1.84374,0.45474,0.32236,0.31088,0.1199,1.95718,18.5998,1.64818,0.0019604,0.0019604,0.0019604
6,446.571,2.15822,1.81382,1.85452,0.44441,0.26646,0.27368,0.1065,2.13823,2.37732,1.77574,0.0019505,0.0019505,0.0019505
7,517.662,2.09596,1.7509,1.80681,0.48301,0.38342,0.38643,0.15953,1.8877,1.91028,1.59494,0.0019406,0.0019406,0.0019406
8,589.545,2.09619,1.73089,1.77357,0.55756,0.42463,0.45546,0.19854,1.8382,1.71604,1.57547,0.0019307,0.0019307,0.0019307
9,661.793,2.07616,1.68755,1.78608,0.45578,0.39892,0.39186,0.1732,1.80932,1.74139,1.55246,0.0019208,0.0019208,0.0019208
10,734.541,2.0257,1.618,1.73182,0.56199,0.4787,0.4967,0.21281,1.75937,1.96923,1.4771,0.0019109,0.0019109,0.0019109
11,806.547,2.01226,1.58539,1.68727,0.57482,0.45159,0.4874,0.20621,1.76784,1.59912,1.47562,0.001901,0.001901,0.001901
12,877.99,1.95643,1.54189,1.67923,0.56602,0.44771,0.46823,0.20496,1.74768,1.60557,1.51427,0.0018911,0.0018911,0.0018911
13,950.272,1.93886,1.49764,1.67073,0.60364,0.44473,0.48748,0.22129,1.72953,1.3747,1.48132,0.0018812,0.0018812,0.0018812
14,1022.42,1.94779,1.54067,1.66821,0.61498,0.45778,0.50852,0.24104,1.71358,1.3669,1.44455,0.0018713,0.0018713,0.0018713
15,1094.52,1.90876,1.48952,1.64649,0.57403,0.4818,0.5049,0.22421,1.74434,1.54573,1.50314,0.0018614,0.0018614,0.0018614
16,1166.4,1.92996,1.47313,1.65165,0.66627,0.4849,0.54718,0.24928,1.69222,1.27241,1.47733,0.0018515,0.0018515,0.0018515
17,1238.39,1.88545,1.4108,1.60746,0.6308,0.52517,0.56357,0.25411,1.64408,1.23161,1.44058,0.0018416,0.0018416,0.0018416
