epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7935,2.35816,5.33246,1.96605,0.09569,0.38636,0.06178,0.02211,2.03538,47.1785,1.69297,0.000657658,0.000657658,0.000657658
2,82.3303,2.51071,2.55832,2.06139,0.02698,0.2358,0.01253,0.0043,2.57361,94.848,2.32688,0.00131777,0.00131777,0.00131777
3,122.212,2.69685,2.57147,2.34283,0.11954,0.16761,0.05112,0.01584,2.83602,6.62338,2.48328,0.00197128,0.00197128,0.00197128
4,163.263,2.73558,2.48157,2.32631,0.06453,0.03125,0.0129,0.00362,3.6256,4.47911,3.89309,0.0019703,0.0019703,0.0019703
5,203.178,2.62111,2.37907,2.32235,0.19317,0.21733,0.11678,0.03375,2.38014,2.49508,1.94294,0.0019604,0.0019604,0.0019604
6,244.725,2.52171,2.17008,2.24699,0.16785,0.17472,0.09286,0.02763,2.39688,6.06931,1.9434,0.0019505,0.0019505,0.0019505
7,285.795,2.56086,2.42836,2.22518,0.15895,0.20752,0.10376,0.03834,2.29646,5.80123,1.88884,0.0019406,0.0019406,0.0019406
8,328.852,2.47052,2.39184,2.14307,0.2604,0.23722,0.15936,0.05525,2.32927,2.42051,1.92334,0.0019307,0.0019307,0.0019307
9,370.366,2.41245,2.19134,2.14566,0.28324,0.25568,0.19434,0.07072,2.20664,2.11649,1.83373,0.0019208,0.0019208,0.0019208
10,412.95,2.36427,2.03023,2.07542,0.34334,0.28977,0.23925,0.09301,2.03887,1.74382,1.71996,0.0019109,0.0019109,0.0019109
11,454.868,2.40448,2.08626,2.04693,0.27736,0.26136,0.203,0.07073,2.23336,2.23278,1.75548,0.001901,0.001901,0.001901
12,495.314,2.31599,1.96453,2.0023,0.34627,0.32244,0.29254,0.11666,1.92678,1.84199,1.63445,0.0018911,0.0018911,0.0018911
13,537.355,2.29013,1.94036,1.98096,0.36941,0.32102,0.28604,0.11118,2.00633,1.61747,1.67522,0.0018812,0.0018812,0.0018812
14,578.246,2.26684,1.9426,1.99458,0.43467,0.33239,0.32278,0.13037,1.92577,1.95756,1.612,0.0018713,0.0018713,0.0018713
15,620.811,2.31274,1.87512,1.96747,0.3838,0.32812,0.29824,0.11696,1.97194,1.90066,1.61816,0.0018614,0.0018614,0.0018614
16,662.611,2.18355,1.81084,1.96714,0.39608,0.35122,0.33156,0.13784,1.98374,1.57325,1.6142,0.0018515,0.0018515,0.0018515
17,704.348,2.25067,1.78051,1.93594,0.30476,0.29972,0.24413,0.09383,2.05916,3.27599,1.64689,0.0018416,0.0018416,0.0018416
18,743.929,2.20577,1.78623,1.90402,0.43495,0.34091,0.3379,0.14469,1.9542,1.5832,1.62893,0.0018317,0.0018317,0.0018317
19,788.277,2.19378,1.79384,1.91851,0.398,0.35369,0.32418,0.13349,1.914,2.28574,1.60071,0.0018218,0.0018218,0.0018218
20,828.432,2.16247,1.71597,1.90039,0.42067,0.35369,0.32735,0.12678,1.89425,1.84028,1.59107,0.0018119,0.0018119,0.0018119
21,868.783,2.2613,1.79402,1.91476,0.41985,0.37926,0.3527,0.14306,1.81297,2.06182,1.56395,0.001802,0.001802,0.001802
22,910.55,2.09831,1.75448,1.83437,0.38137,0.32488,0.32228,0.13639,1.91136,6.76452,1.57411,0.0017921,0.0017921,0.0017921
23,952.738,2.10677,1.7016,1.8334,0.51823,0.41051,0.42526,0.17493,1.84024,1.84104,1.5629,0.0017822,0.0017822,0.0017822
24,994.21,2.08592,1.61218,1.80485,0.37927,0.28121,0.25449,0.09692,2.15506,2.02735,1.6807,0.0017723,0.0017723,0.0017723
25,1035.37,2.13857,1.62954,1.85771,0.50706,0.3821,0.4146,0.18639,1.76625,1.41624,1.51921,0.0017624,0.0017624,0.0017624
26,1077.14,2.05108,1.60337,1.82002,0.53656,0.46875,0.46222,0.20206,1.77544,1.64359,1.5218,0.0017525,0.0017525,0.0017525
27,1120.93,2.05212,1.57132,1.80534,0.50021,0.39915,0.43398,0.19633,1.83197,1.3304,1.53473,0.0017426,0.0017426,0.0017426
28,1161.92,2.0476,1.60962,1.77184,0.47256,0.44289,0.43641,0.19178,1.82357,1.48123,1.51699,0.0017327,0.0017327,0.0017327
29,1203.1,2.02302,1.59309,1.85233,0.46169,0.39915,0.40481,0.17491,1.86249,1.60654,1.56568,0.0017228,0.0017228,0.0017228
30,1244.3,2.0017,1.53733,1.77164,0.5217,0.42898,0.45725,0.20185,1.78745,1.40715,1.52537,0.0017129,0.0017129,0.0017129
31,1286.99,1.99279,1.53936,1.79293,0.54118,0.44886,0.47557,0.221,1.71872,1.48916,1.49645,0.001703,0.001703,0.001703
32,1329.1,1.99366,1.53964,1.77601,0.58847,0.44318,0.49149,0.21813,1.74209,1.32008,1.50364,0.0016931,0.0016931,0.0016931
33,1369.92,1.92093,1.5023,1.7589,0.5668,0.44886,0.48301,0.22215,1.73682,1.26672,1.50243,0.0016832,0.0016832,0.0016832
34,1414.44,1.91752,1.46946,1.71413,0.56578,0.46449,0.5026,0.23733,1.69067,1.35,1.48332,0.0016733,0.0016733,0.0016733
35,1456.19,1.9003,1.44335,1.69256,0.50443,0.48436,0.47863,0.22552,1.68381,1.61811,1.44897,0.0016634,0.0016634,0.0016634
36,1496.9,2.00367,1.50802,1.75747,0.58802,0.4375,0.48544,0.21118,1.74762,1.71126,1.49397,0.0016535,0.0016535,0.0016535
37,1537.61,1.96392,1.49497,1.73434,0.58717,0.4858,0.53275,0.24793,1.64569,1.37145,1.4577,0.0016436,0.0016436,0.0016436
38,1580.53,1.8904,1.40794,1.69963,0.56247,0.48011,0.51133,0.22291,1.71092,1.2703,1.49278,0.0016337,0.0016337,0.0016337
39,1620.65,1.87626,1.39655,1.69587,0.57717,0.46307,0.49478,0.22762,1.71781,1.4174,1.48197,0.0016238,0.0016238,0.0016238
40,1661.48,1.83431,1.43208,1.69347,0.63817,0.46599,0.52032,0.24045,1.69955,1.23521,1.49207,0.0016139,0.0016139,0.0016139
41,1702.34,1.92854,1.43888,1.73024,0.57074,0.45455,0.47267,0.21263,1.75508,1.61577,1.50523,0.001604,0.001604,0.001604
42,1744.12,1.8554,1.39725,1.72113,0.60341,0.50284,0.54212,0.25801,1.63183,1.17942,1.43788,0.0015941,0.0015941,0.0015941
43,1786.4,1.86214,1.3755,1.6853,0.53964,0.48952,0.50607,0.2428,1.66476,1.2288,1.45378,0.0015842,0.0015842,0.0015842
44,1827.52,1.86037,1.37529,1.65746,0.56162,0.49317,0.51115,0.24372,1.68282,1.42276,1.48139,0.0015743,0.0015743,0.0015743
45,1869.38,1.86208,1.35341,1.69529,0.58338,0.49148,0.52817,0.25436,1.63903,1.16414,1.44317,0.0015644,0.0015644,0.0015644
46,1910.09,1.84942,1.41877,1.63847,0.623,0.4858,0.53327,0.25171,1.6253,1.6785,1.43377,0.0015545,0.0015545,0.0015545
47,1948.96,1.85256,1.33615,1.65014,0.61244,0.47159,0.53377,0.26157,1.60677,1.20904,1.41643,0.0015446,0.0015446,0.0015446
48,1990.1,1.78837,1.33357,1.61999,0.61592,0.49431,0.52783,0.25226,1.6638,1.17729,1.4497,0.0015347,0.0015347,0.0015347
49,2031.48,1.80045,1.29222,1.62569,0.66117,0.48783,0.53983,0.26073,1.63254,1.16156,1.45173,0.0015248,0.0015248,0.0015248
50,2071.17,1.83688,1.3275,1.66917,0.64432,0.48889,0.54529,0.27256,1.61535,1.16331,1.44821,0.0015149,0.0015149,0.0015149
51,2112.09,1.85019,1.30296,1.63892,0.63162,0.4944,0.55891,0.28316,1.59423,1.12727,1.42998,0.001505,0.001505,0.001505
52,2153.58,1.79318,1.34177,1.64649,0.64787,0.49148,0.55655,0.27518,1.59652,1.16325,1.41947,0.0014951,0.0014951,0.0014951
53,2194.41,1.77782,1.29948,1.62337,0.64374,0.52699,0.57077,0.27596,1.60992,1.21684,1.43181,0.0014852,0.0014852,0.0014852
54,2234.08,1.77898,1.32257,1.60354,0.59859,0.52744,0.56828,0.27943,1.60635,1.287,1.41506,0.0014753,0.0014753,0.0014753
55,2274.83,1.77128,1.29243,1.61258,0.67228,0.52273,0.58471,0.29548,1.5702,1.09935,1.41415,0.0014654,0.0014654,0.0014654
56,2316.16,1.79146,1.30956,1.60472,0.65906,0.48327,0.55248,0.25759,1.66234,1.2059,1.42763,0.0014555,0.0014555,0.0014555
57,2358.11,1.70071,1.25445,1.61004,0.67047,0.50576,0.58041,0.2969,1.56654,1.09072,1.41318,0.0014456,0.0014456,0.0014456
58,2398.99,1.75752,1.27722,1.56972,0.64513,0.52421,0.5662,0.27558,1.58446,1.10717,1.40753,0.0014357,0.0014357,0.0014357
59,2439.01,1.71561,1.20951,1.60131,0.66239,0.54119,0.58723,0.29248,1.57828,1.11966,1.40506,0.0014258,0.0014258,0.0014258
60,2478.68,1.73408,1.22189,1.56378,0.66068,0.54261,0.59059,0.29035,1.60511,1.19321,1.41599,0.0014159,0.0014159,0.0014159
61,2520.51,1.72566,1.23186,1.5955,0.63824,0.52983,0.56525,0.27995,1.57671,1.30936,1.4237,0.001406,0.001406,0.001406
62,2560.61,1.71328,1.2153,1.56013,0.65319,0.52705,0.58662,0.28476,1.58955,1.08839,1.41226,0.0013961,0.0013961,0.0013961
63,2599.43,1.72225,1.24304,1.61945,0.65184,0.50852,0.57406,0.29521,1.58489,1.07787,1.44128,0.0013862,0.0013862,0.0013862
64,2641.16,1.6662,1.19609,1.57321,0.64564,0.50568,0.55955,0.27786,1.60296,1.07229,1.42659,0.0013763,0.0013763,0.0013763
65,2681.3,1.74272,1.18763,1.529,0.64587,0.53693,0.5751,0.2814,1.60589,1.06572,1.43851,0.0013664,0.0013664,0.0013664
66,2721.05,1.65746,1.16796,1.55201,0.65812,0.52273,0.5767,0.2932,1.59594,1.08412,1.42829,0.0013565,0.0013565,0.0013565
67,2761.16,1.66276,1.17411,1.55668,0.67807,0.52841,0.60315,0.30369,1.53284,1.04866,1.39352,0.0013466,0.0013466,0.0013466
68,2803.43,1.66597,1.15992,1.54124,0.69779,0.51136,0.57756,0.28951,1.58548,1.0918,1.42511,0.0013367,0.0013367,0.0013367
69,2843.3,1.66483,1.19118,1.55817,0.68746,0.54119,0.60557,0.30338,1.59273,1.08276,1.43364,0.0013268,0.0013268,0.0013268
