model,test_split,mAP50,mAP95,precision,recall
all_lighting,data_all_lighting,64.42443175913763,36.895290460602865,71.9245355852444,61.22159090909091
all_lighting,day_test,67.92177171658913,38.59849104050578,70.1821121600488,64.96350364963503
all_lighting,led_test,69.19690473881282,37.336028404250754,70.89038362164258,69.14893617021278
all_lighting,shop_test,60.63385990631026,29.499013469676726,63.782603085973065,60.94615918160547
day_led,data_day_led,69.06874147592738,39.298085880316435,74.99121511692715,64.41766397154429
day_led,day_test,71.40404128304598,38.78736406569384,76.20546518099745,64.96350364963503
day_led,led_test,71.2522482165094,38.74560502982488,72.95293410906947,66.66666666666666
day_led,shop_test,27.277282177571138,9.062727781353374,43.3339818452059,31.235955056179776
day_only,data_day_only,63.21373129935667,37.04219326374033,63.40518887931659,60.46195652173913
day_only,day_test,62.90023622294613,35.068020173452155,60.576081490475254,58.63746958637469
day_only,led_test,5.442840884155194,1.9734721236885147,13.306688322839197,10.28368794326241
day_only,shop_test,15.780966508166468,5.444355490318325,25.655334189451963,19.550561797752806
day_shop,data_day_shop,67.07800819639424,36.215947480999006,68.33437477921645,64.96596674948782
day_shop,day_test,68.54413698960306,38.080747303341866,71.89188221068777,62.85338481147855
day_shop,led_test,10.465615864647049,3.3293206078491684,14.579138515126683,33.33333333333333
day_shop,shop_test,58.67448947615242,30.015244152581154,65.67608283706934,55.50561797752809
led_only,data_led_only,73.73255149062463,39.93153516311568,77.13105987017927,66.9400146319534
led_only,day_test,30.721121953866454,10.294363193185625,49.041481695949,29.97209170149343
led_only,led_test,74.61053736955255,42.41823177380128,79.30864325903364,68.43971631205675
led_only,shop_test,17.21893862778277,5.575976098684299,35.982131140629015,21.34831460674157
shop_led,data_shop_led,64.62112329957155,34.10255447338898,72.96353162738856,56.310047982522704
shop_led,day_test,38.63109987059993,15.025970591517535,47.469008416016635,39.90267639902677
shop_led,led_test,70.39353359504726,39.34606533381988,71.36788500111028,68.94406567750704
shop_led,shop_test,60.773663756566066,31.191309849948524,68.13359173471177,55.73033707865168
shop_only,data_shop_only,62.5310357677366,33.34654728050651,64.00193760367985,59.843546284224246
shop_only,day_test,34.32480556915837,12.923399766434644,43.20834101731092,38.929440389294406
shop_only,led_test,12.924688928493394,4.693214545914113,20.27329359856167,20.921985815602838
shop_only,shop_test,61.231040693461466,32.27287854300027,67.36010722376807,55.28089887640449
