epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7915,2.20999,4.54685,1.87177,0.21207,0.29806,0.17035,0.05745,1.91771,32.197,1.60039,0.000657658,0.000657658,0.000657658
2,82.7496,2.32771,2.45381,1.97368,0.16754,0.29349,0.10095,0.03296,1.93632,98.7034,1.77587,0.00131777,0.00131777,0.00131777
3,122.526,2.52888,2.64395,2.10703,0.11802,0.11952,0.04362,0.01331,2.53791,11.8945,2.09693,0.00197128,0.00197128,0.00197128
4,162.158,2.52674,2.19462,2.12567,0.1708,0.28077,0.11222,0.03296,2.03773,6.46077,1.73327,0.0019703,0.0019703,0.0019703
5,201.746,2.41155,2.08874,2.10815,0.31453,0.28593,0.22128,0.07368,1.96883,25.6377,1.60236,0.0019604,0.0019604,0.0019604
6,242.723,2.34288,2.21003,1.97396,0.30018,0.33585,0.23481,0.08516,1.81897,21.7833,1.46274,0.0019505,0.0019505,0.0019505
7,283.381,2.31505,1.95482,1.96878,0.2426,0.22239,0.18538,0.06332,2.1379,2.27869,1.65225,0.0019406,0.0019406,0.0019406
8,323.67,2.2536,1.94523,1.91543,0.41454,0.3177,0.32827,0.13456,1.72898,9.047,1.41439,0.0019307,0.0019307,0.0019307
9,364.64,2.1425,1.87924,1.85309,0.40418,0.36309,0.33575,0.13003,1.73955,2.10321,1.48503,0.0019208,0.0019208,0.0019208
10,404.913,2.16122,1.88199,1.79877,0.45891,0.42209,0.40222,0.168,1.59527,1.28301,1.33213,0.0019109,0.0019109,0.0019109
11,448.282,2.0667,1.75821,1.81889,0.47032,0.40568,0.4078,0.16963,1.6531,3.67995,1.37549,0.001901,0.001901,0.001901
12,488.753,2.08557,1.68209,1.76449,0.48236,0.41604,0.42282,0.18604,1.62492,1.43434,1.34834,0.0018911,0.0018911,0.0018911
13,528.914,2.06262,1.67497,1.7488,0.57103,0.45688,0.49605,0.22067,1.55784,2.18133,1.31519,0.0018812,0.0018812,0.0018812
14,570.089,2.03488,1.68295,1.75873,0.51072,0.45796,0.46243,0.20023,1.57988,3.43955,1.31104,0.0018713,0.0018713,0.0018713
15,609.981,2.00655,1.62781,1.72745,0.46793,0.41778,0.42633,0.19035,1.62853,1.29283,1.37463,0.0018614,0.0018614,0.0018614
16,649.637,1.96655,1.55741,1.74895,0.5062,0.41301,0.44798,0.20491,1.51697,1.72483,1.3139,0.0018515,0.0018515,0.0018515
17,689.273,1.98069,1.61891,1.71501,0.52375,0.3888,0.42861,0.19897,1.62868,1.49355,1.35357,0.0018416,0.0018416,0.0018416
18,728.573,1.94583,1.77153,1.68467,0.5499,0.40294,0.47496,0.21728,1.50645,1.84289,1.28292,0.0018317,0.0018317,0.0018317
19,768.797,1.89823,1.67125,1.70127,0.52825,0.50483,0.5154,0.24441,1.52205,1.49898,1.31366,0.0018218,0.0018218,0.0018218
20,809.939,1.87999,1.54144,1.70708,0.53092,0.46403,0.48494,0.22185,1.52602,1.29096,1.32754,0.0018119,0.0018119,0.0018119
21,849.54,1.9245,1.56064,1.70043,0.56972,0.44781,0.50976,0.22715,1.51909,2.29784,1.29357,0.001802,0.001802,0.001802
22,888.669,1.85381,1.49514,1.61505,0.54527,0.46747,0.48802,0.23818,1.45479,1.92222,1.27193,0.0017921,0.0017921,0.0017921
23,927.804,1.92114,1.47394,1.67762,0.59071,0.50002,0.53881,0.24442,1.50989,1.33169,1.29222,0.0017822,0.0017822,0.0017822
24,968.723,1.85922,1.47365,1.65957,0.61226,0.46142,0.52543,0.26026,1.47243,1.27668,1.27577,0.0017723,0.0017723,0.0017723
25,1009.78,1.83062,1.47925,1.62661,0.53031,0.5053,0.50321,0.24336,1.49688,1.12521,1.28123,0.0017624,0.0017624,0.0017624
26,1050.21,1.77888,1.45773,1.63872,0.57899,0.43268,0.48627,0.23428,1.41806,4.55552,1.26006,0.0017525,0.0017525,0.0017525
27,1089.76,1.84595,1.43921,1.64502,0.54967,0.51521,0.54843,0.262,1.52643,1.18256,1.32111,0.0017426,0.0017426,0.0017426
28,1130.26,1.7586,1.39741,1.60817,0.61049,0.51217,0.5641,0.26567,1.49737,1.16464,1.30722,0.0017327,0.0017327,0.0017327
29,1171.17,1.8448,1.43624,1.6656,0.58926,0.55219,0.57413,0.28834,1.44216,1.14985,1.25431,0.0017228,0.0017228,0.0017228
30,1212.13,1.78089,1.3837,1.55982,0.63963,0.49924,0.55703,0.27534,1.46333,1.07986,1.27218,0.0017129,0.0017129,0.0017129
31,1252.52,1.7359,1.37091,1.60253,0.64156,0.54614,0.59329,0.288,1.43165,1.09938,1.25938,0.001703,0.001703,0.001703
32,1293.34,1.80155,1.4291,1.61319,0.64328,0.52496,0.5875,0.29105,1.44021,1.08121,1.25116,0.0016931,0.0016931,0.0016931
33,1334.21,1.67708,1.35531,1.56974,0.62264,0.52194,0.58847,0.28298,1.48328,1.22398,1.29399,0.0016832,0.0016832,0.0016832
34,1372.62,1.70805,1.37249,1.55945,0.59898,0.52648,0.57502,0.27282,1.5971,1.09541,1.31851,0.0016733,0.0016733,0.0016733
35,1411.82,1.71581,1.32297,1.55238,0.58394,0.51135,0.54777,0.27242,1.45424,1.10768,1.27435,0.0016634,0.0016634,0.0016634
