epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.257,1.28802,4.09701,0.94801,0.18639,0.27446,0.11228,0.03735,0.92386,0.85025,0.76597,0.000665533,0.000665533,0.000665533
2,293.556,1.3971,1.42005,1.0586,0.15416,0.27717,0.1249,0.04107,0.96314,1.28744,0.77114,0.00132561,0.00132561,0.00132561
3,437.971,1.41401,1.28818,1.11335,0.03238,0.60326,0.02604,0.0099,0.95517,93.7188,0.77973,0.00197908,0.00197908,0.00197908
4,581.413,1.41803,1.35564,1.11975,0.12354,0.56114,0.15136,0.05409,0.91411,0.96509,0.75762,0.0019703,0.0019703,0.0019703
5,730.981,1.28709,1.1398,1.02358,0.3141,0.29484,0.23475,0.09522,0.86402,3.78134,0.72585,0.0019604,0.0019604,0.0019604
6,877.138,1.36709,1.14103,1.05524,0.23941,0.2951,0.17176,0.06097,0.90162,0.86065,0.73912,0.0019505,0.0019505,0.0019505
7,1020.13,1.26781,1.08462,1.02673,0.31959,0.29212,0.25973,0.10391,0.87946,0.72753,0.71474,0.0019406,0.0019406,0.0019406
8,1165.99,1.27611,1.0197,1.01098,0.11848,0.29076,0.07616,0.02879,0.93244,1.01887,0.73099,0.0019307,0.0019307,0.0019307
9,1308.58,1.27126,0.9803,0.98123,0.31903,0.34691,0.26544,0.11431,0.8154,0.69713,0.6842,0.0019208,0.0019208,0.0019208
10,1454.6,1.30533,1.06336,0.97371,0.35961,0.30027,0.2736,0.1072,0.82725,0.84033,0.69798,0.0019109,0.0019109,0.0019109
11,1596.46,1.30109,1.01751,0.99175,0.4014,0.33152,0.30693,0.13965,0.81422,0.63767,0.67694,0.001901,0.001901,0.001901
12,1738.34,1.26143,0.95052,0.98256,0.33606,0.36957,0.29521,0.12579,0.84512,0.70443,0.69306,0.0018911,0.0018911,0.0018911
13,1879.63,1.25535,1.00358,0.9753,0.39626,0.33967,0.33097,0.14908,0.78163,0.68849,0.6623,0.0018812,0.0018812,0.0018812
14,2022.49,1.2099,0.94101,0.95479,0.48705,0.36005,0.38789,0.16884,0.80418,0.66505,0.65922,0.0018713,0.0018713,0.0018713
15,2165.1,1.14323,0.86531,0.91279,0.42228,0.30978,0.34011,0.14588,0.81696,0.6528,0.68048,0.0018614,0.0018614,0.0018614
16,2304.92,1.23276,0.92049,0.9542,0.41807,0.37228,0.37213,0.17211,0.74865,0.62285,0.6398,0.0018515,0.0018515,0.0018515
17,2445.37,1.14989,0.83587,0.88233,0.43846,0.43886,0.41177,0.17566,0.76739,0.6141,0.65176,0.0018416,0.0018416,0.0018416
18,2585.82,1.18018,0.85373,0.89319,0.43218,0.3981,0.38419,0.15102,0.83061,0.6201,0.65633,0.0018317,0.0018317,0.0018317
19,2725.21,1.18755,0.90327,0.93588,0.34816,0.42255,0.33952,0.15707,0.73303,0.65552,0.64143,0.0018218,0.0018218,0.0018218
20,2865.89,1.17525,0.89771,0.92299,0.40555,0.41168,0.35579,0.16162,0.72525,0.7215,0.62533,0.0018119,0.0018119,0.0018119
21,3004.93,1.12061,0.80794,0.88124,0.45279,0.36821,0.37022,0.17241,0.73866,0.61683,0.64397,0.001802,0.001802,0.001802
22,3146.81,1.16376,0.80426,0.87883,0.40416,0.44701,0.40265,0.18138,0.72378,0.61465,0.62884,0.0017921,0.0017921,0.0017921
23,3286.55,1.07033,0.77899,0.88363,0.49798,0.375,0.39586,0.19263,0.70739,0.60013,0.62102,0.0017822,0.0017822,0.0017822
24,3426.21,1.10233,0.83311,0.88687,0.50423,0.38451,0.42965,0.19918,0.69847,0.65383,0.63065,0.0017723,0.0017723,0.0017723
25,3564.68,1.06449,0.7807,0.85557,0.40801,0.4212,0.38879,0.17108,0.75549,0.65217,0.6397,0.0017624,0.0017624,0.0017624
26,3701,1.09973,0.82966,0.92027,0.45301,0.44701,0.44091,0.21618,0.7133,0.57512,0.61421,0.0017525,0.0017525,0.0017525
27,3839.05,1.12983,0.79525,0.8947,0.32525,0.31658,0.29457,0.14193,0.76614,0.77747,0.64681,0.0017426,0.0017426,0.0017426
28,3976.18,1.07818,0.81184,0.86665,0.53871,0.39674,0.46445,0.21185,0.70027,0.62144,0.61484,0.0017327,0.0017327,0.0017327
29,4113,1.09297,0.80225,0.89703,0.51571,0.49457,0.49542,0.24736,0.66478,0.56029,0.58949,0.0017228,0.0017228,0.0017228
30,4250.6,1.06535,0.80733,0.85486,0.53205,0.46196,0.48778,0.22539,0.71436,0.55845,0.6133,0.0017129,0.0017129,0.0017129
31,4386.93,1.08317,0.78626,0.87039,0.46103,0.44745,0.45595,0.22,0.68221,0.53841,0.59626,0.001703,0.001703,0.001703
32,4524.41,1.07008,0.7524,0.87552,0.52687,0.45516,0.48765,0.2429,0.65862,0.55582,0.58537,0.0016931,0.0016931,0.0016931
33,4661.35,1.03195,0.76157,0.85133,0.5251,0.5231,0.52413,0.26147,0.66932,0.52057,0.59231,0.0016832,0.0016832,0.0016832
34,4799.22,1.07018,0.7325,0.83665,0.51939,0.44565,0.48744,0.24167,0.69519,0.56664,0.5952,0.0016733,0.0016733,0.0016733
35,4936.29,1.06003,0.7475,0.85072,0.51,0.42799,0.46781,0.2211,0.71989,0.55781,0.60819,0.0016634,0.0016634,0.0016634
36,5072.45,1.01489,0.71367,0.84006,0.52607,0.43586,0.46561,0.2266,0.7148,0.57997,0.61491,0.0016535,0.0016535,0.0016535
37,5210.06,1.02462,0.72703,0.8141,0.50456,0.5,0.50254,0.25273,0.66189,0.53843,0.59216,0.0016436,0.0016436,0.0016436
38,5346.89,1.01362,0.71327,0.82087,0.53315,0.42799,0.4711,0.22806,0.68053,0.55278,0.60633,0.0016337,0.0016337,0.0016337
39,5483.45,1.02439,0.72369,0.80634,0.53597,0.47395,0.49534,0.24784,0.65097,0.52132,0.58352,0.0016238,0.0016238,0.0016238
40,5620.4,1.06497,0.69425,0.81571,0.55835,0.46332,0.5016,0.24936,0.65316,0.52546,0.58121,0.0016139,0.0016139,0.0016139
41,5757.43,1.03761,0.71631,0.83461,0.48255,0.42663,0.45844,0.21437,0.72387,0.56924,0.62526,0.001604,0.001604,0.001604
42,5895.94,1.01992,0.70874,0.85664,0.59989,0.47283,0.52116,0.26013,0.66441,0.50653,0.59122,0.0015941,0.0015941,0.0015941
43,6033.73,0.98265,0.71459,0.8206,0.39975,0.37733,0.39432,0.19658,0.66971,0.73159,0.59418,0.0015842,0.0015842,0.0015842
44,6170.3,0.99298,0.70309,0.8065,0.53359,0.49864,0.53075,0.2688,0.63373,0.51239,0.57975,0.0015743,0.0015743,0.0015743
45,6308.25,0.98568,0.67898,0.8079,0.59153,0.46467,0.52111,0.26409,0.67419,0.52618,0.59155,0.0015644,0.0015644,0.0015644
46,6444.42,0.99836,0.67404,0.80272,0.56408,0.48234,0.51608,0.264,0.67297,0.54388,0.59387,0.0015545,0.0015545,0.0015545
47,6581.96,1.00771,0.6806,0.822,0.56588,0.51766,0.56,0.27578,0.65579,0.48516,0.58654,0.0015446,0.0015446,0.0015446
48,6718.99,0.93826,0.67008,0.79745,0.58018,0.51072,0.53257,0.24027,0.69364,0.5908,0.59133,0.0015347,0.0015347,0.0015347
49,6853.81,1.02737,0.71361,0.8227,0.5851,0.44158,0.50673,0.25796,0.67582,0.53896,0.58533,0.0015248,0.0015248,0.0015248
