epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6036,2.35701,4.36599,1.864,0.25394,0.20681,0.137,0.04612,2.03443,27.9207,1.44911,0.000657658,0.000657658,0.000657658
2,81.6394,2.47667,2.30781,1.93376,0.03984,0.42147,0.02713,0.00808,2.15341,inf,1.81497,0.00131777,0.00131777,0.00131777
3,119.249,2.47728,2.33476,1.94529,0.07329,0.15314,0.03006,0.00771,2.49919,48.2569,2.18345,0.00197128,0.00197128,0.00197128
4,158.121,2.4825,2.21352,1.96135,0.22307,0.27225,0.16362,0.05283,2.04843,2.01058,1.59192,0.0019703,0.0019703,0.0019703
5,197.922,2.36996,2.02387,1.96057,0.28914,0.27356,0.21646,0.0754,1.93526,3.03761,1.54627,0.0019604,0.0019604,0.0019604
6,238.276,2.35571,2.01591,1.92565,0.25579,0.20419,0.1235,0.04075,2.22097,8.16546,1.60028,0.0019505,0.0019505,0.0019505
7,276.059,2.359,1.90987,1.88506,0.24143,0.29581,0.14122,0.05037,1.87194,9.44184,1.50421,0.0019406,0.0019406,0.0019406
8,315.332,2.30668,1.96081,1.8321,0.31521,0.34222,0.26687,0.10038,1.83283,2.80657,1.39206,0.0019307,0.0019307,0.0019307
9,355.143,2.28085,1.96649,1.83766,0.25768,0.22775,0.16529,0.058,1.94362,37.3997,1.55994,0.0019208,0.0019208,0.0019208
10,394.277,2.29231,1.92096,1.8254,0.42315,0.38886,0.35365,0.13793,1.72775,2.30069,1.3913,0.0019109,0.0019109,0.0019109
11,433.117,2.18206,1.84093,1.80267,0.39756,0.35733,0.32108,0.12383,1.78577,1.75681,1.40897,0.001901,0.001901,0.001901
12,471.361,2.16828,1.747,1.75708,0.45278,0.37827,0.36114,0.14437,1.70263,4.19841,1.35756,0.0018911,0.0018911,0.0018911
13,510.787,2.10963,1.6998,1.74493,0.39303,0.35864,0.31691,0.12261,1.74632,2.08784,1.3954,0.0018812,0.0018812,0.0018812
14,548.692,2.15014,1.82245,1.73191,0.39643,0.33377,0.32296,0.13322,1.71805,1.40093,1.36396,0.0018713,0.0018713,0.0018713
15,587.03,2.10095,1.68744,1.69669,0.38274,0.34817,0.28035,0.11165,1.97517,2.00051,1.48694,0.0018614,0.0018614,0.0018614
16,625.515,2.04976,1.65296,1.6829,0.5148,0.41623,0.42329,0.16464,1.66579,1.36274,1.35406,0.0018515,0.0018515,0.0018515
17,665.697,2.08752,1.65042,1.67954,0.47069,0.40183,0.4107,0.16151,1.72755,1.57764,1.34936,0.0018416,0.0018416,0.0018416
18,703.283,1.9591,1.73529,1.62316,0.49897,0.45419,0.45755,0.1922,1.58636,1.345,1.30478,0.0018317,0.0018317,0.0018317
19,743.231,1.98307,1.5936,1.67583,0.50979,0.45812,0.44542,0.19489,1.52822,3.4368,1.29579,0.0018218,0.0018218,0.0018218
20,782.804,2.01862,1.62007,1.62999,0.47149,0.4157,0.41222,0.17709,1.60401,1.19664,1.28386,0.0018119,0.0018119,0.0018119
21,821.317,1.9722,1.54681,1.64263,0.48724,0.46728,0.46701,0.19945,1.59079,1.35283,1.26238,0.001802,0.001802,0.001802
22,860.521,1.96585,1.5046,1.60194,0.53902,0.46597,0.47346,0.20286,1.58881,1.32998,1.27732,0.0017921,0.0017921,0.0017921
23,899.287,1.94712,1.52853,1.6476,0.56518,0.43325,0.47113,0.19953,1.59603,1.49229,1.29178,0.0017822,0.0017822,0.0017822
24,937.601,1.93457,1.54079,1.61698,0.53122,0.44764,0.46561,0.21302,1.53464,1.11917,1.28319,0.0017723,0.0017723,0.0017723
25,977.45,1.99304,1.49187,1.65025,0.57208,0.45026,0.50496,0.2176,1.5495,1.18799,1.28545,0.0017624,0.0017624,0.0017624
26,1017.4,1.89729,1.45386,1.60801,0.58596,0.46597,0.51032,0.23567,1.48143,1.3778,1.25165,0.0017525,0.0017525,0.0017525
27,1056.55,1.89457,1.48229,1.60219,0.55509,0.47644,0.48153,0.21316,1.5066,1.15363,1.25185,0.0017426,0.0017426,0.0017426
28,1095.4,1.88189,1.49197,1.5886,0.56571,0.5,0.52389,0.23283,1.54483,1.16967,1.25443,0.0017327,0.0017327,0.0017327
29,1134.14,1.88601,1.48067,1.59852,0.59566,0.45419,0.51063,0.22873,1.49736,1.78374,1.24022,0.0017228,0.0017228,0.0017228
30,1171.91,1.81728,1.36851,1.53326,0.57397,0.50785,0.53257,0.23853,1.47823,1.11969,1.23789,0.0017129,0.0017129,0.0017129
31,1211.61,1.84932,1.42473,1.56697,0.61511,0.50832,0.53799,0.25056,1.45116,1.4047,1.21834,0.001703,0.001703,0.001703
32,1251.25,1.80472,1.40406,1.54518,0.56463,0.48549,0.48427,0.21781,1.48408,1.8159,1.23688,0.0016931,0.0016931,0.0016931
33,1289.33,1.83693,1.40464,1.54213,0.62743,0.46731,0.52427,0.23991,1.43465,1.54915,1.22642,0.0016832,0.0016832,0.0016832
34,1326.77,1.79412,1.37169,1.47847,0.6129,0.49323,0.53793,0.24883,1.43703,1.05998,1.19808,0.0016733,0.0016733,0.0016733
35,1364.88,1.809,1.31319,1.5188,0.63636,0.48298,0.55524,0.26546,1.45231,1.21499,1.21543,0.0016634,0.0016634,0.0016634
36,1405.31,1.77515,1.38855,1.47366,0.64295,0.49733,0.55355,0.2605,1.42246,1.14715,1.20996,0.0016535,0.0016535,0.0016535
37,1444.38,1.78316,1.35579,1.52596,0.56928,0.50785,0.5271,0.23303,1.4721,1.96821,1.23204,0.0016436,0.0016436,0.0016436
38,1482.65,1.74695,1.34058,1.48303,0.56061,0.50393,0.51239,0.24659,1.41006,1.05593,1.20402,0.0016337,0.0016337,0.0016337
39,1521.46,1.75625,1.29832,1.47462,0.60711,0.48822,0.5246,0.24665,1.47457,1.11628,1.24922,0.0016238,0.0016238,0.0016238
40,1560.61,1.7101,1.31562,1.49242,0.62033,0.51753,0.56682,0.27531,1.40066,1.18819,1.19239,0.0016139,0.0016139,0.0016139
41,1601.2,1.74971,1.32045,1.50999,0.58643,0.54188,0.54241,0.25628,1.40773,1.12623,1.19737,0.001604,0.001604,0.001604
42,1640.19,1.67729,1.27837,1.43884,0.6439,0.51309,0.57414,0.26545,1.4312,1.26307,1.20534,0.0015941,0.0015941,0.0015941
43,1678.45,1.70726,1.28899,1.46783,0.60631,0.53665,0.55979,0.26254,1.46037,1.02407,1.23957,0.0015842,0.0015842,0.0015842
44,1717.37,1.72538,1.26654,1.49922,0.6255,0.51832,0.55862,0.27107,1.41095,1.14738,1.20096,0.0015743,0.0015743,0.0015743
45,1756.03,1.77832,1.29745,1.50602,0.65315,0.51963,0.56426,0.2724,1.3807,1.06091,1.19555,0.0015644,0.0015644,0.0015644
46,1794.28,1.69856,1.2753,1.45616,0.64092,0.53927,0.57263,0.26291,1.44268,1.85058,1.23088,0.0015545,0.0015545,0.0015545
47,1832.92,1.71329,1.23767,1.4207,0.64507,0.54974,0.60175,0.29293,1.39263,1.15007,1.17436,0.0015446,0.0015446,0.0015446
48,1872.78,1.70182,1.2136,1.43832,0.64285,0.55497,0.59061,0.28259,1.44306,1.03957,1.22132,0.0015347,0.0015347,0.0015347
49,1910.62,1.67368,1.23125,1.41444,0.64527,0.54523,0.58605,0.27574,1.38174,1.10452,1.1754,0.0015248,0.0015248,0.0015248
50,1949.11,1.64555,1.20209,1.45925,0.66248,0.55492,0.61459,0.28828,1.41436,1.02381,1.19479,0.0015149,0.0015149,0.0015149
51,1987.7,1.68926,1.22235,1.46944,0.65782,0.52591,0.59445,0.29063,1.3903,0.96679,1.19776,0.001505,0.001505,0.001505
52,2026.81,1.63598,1.20055,1.40666,0.68435,0.53534,0.60774,0.29037,1.39224,1.18323,1.18946,0.0014951,0.0014951,0.0014951
53,2065.38,1.65504,1.17851,1.42121,0.70681,0.53272,0.61725,0.30357,1.3668,0.98076,1.15623,0.0014852,0.0014852,0.0014852
54,2105.89,1.64644,1.1944,1.41906,0.65238,0.54974,0.5936,0.29385,1.38754,0.99352,1.20832,0.0014753,0.0014753,0.0014753
55,2144.27,1.66886,1.17275,1.42097,0.65566,0.55236,0.60065,0.30187,1.39344,0.97556,1.17653,0.0014654,0.0014654,0.0014654
56,2182.08,1.61011,1.16844,1.43605,0.66356,0.56806,0.6111,0.30065,1.37482,1.74766,1.1753,0.0014555,0.0014555,0.0014555
57,2220.12,1.58552,1.16744,1.38542,0.67163,0.53665,0.61571,0.30034,1.37188,0.96066,1.16957,0.0014456,0.0014456,0.0014456
58,2258.48,1.5797,1.11587,1.36833,0.6061,0.56997,0.58719,0.29542,1.37848,0.96936,1.15857,0.0014357,0.0014357,0.0014357
59,2296.09,1.54711,1.18526,1.35647,0.62234,0.5457,0.59648,0.29047,1.39104,0.9533,1.19582,0.0014258,0.0014258,0.0014258
60,2334.3,1.66268,1.12723,1.40151,0.66306,0.56021,0.61103,0.30596,1.36831,0.93487,1.17616,0.0014159,0.0014159,0.0014159
61,2373.75,1.50975,1.09504,1.37168,0.64983,0.57324,0.59299,0.29143,1.3739,1.0174,1.16475,0.001406,0.001406,0.001406
62,2412.07,1.55246,1.13408,1.38095,0.70922,0.54843,0.62676,0.31618,1.3947,0.91994,1.18384,0.0013961,0.0013961,0.0013961
63,2450.66,1.5307,1.10831,1.37615,0.67307,0.56021,0.61157,0.30619,1.37844,0.95164,1.18188,0.0013862,0.0013862,0.0013862
64,2489.22,1.5677,1.09053,1.35495,0.66612,0.57461,0.60939,0.29866,1.42123,1.81279,1.21287,0.0013763,0.0013763,0.0013763
65,2527.74,1.57568,1.08369,1.35563,0.66755,0.55236,0.60017,0.28575,1.3948,0.94742,1.18871,0.0013664,0.0013664,0.0013664
66,2565.24,1.53271,1.07782,1.35419,0.60424,0.57984,0.60383,0.30509,1.38093,0.95113,1.18968,0.0013565,0.0013565,0.0013565
67,2603.43,1.54828,1.10121,1.37005,0.69717,0.57254,0.63304,0.3099,1.37983,0.9223,1.18064,0.0013466,0.0013466,0.0013466
68,2641.8,1.55024,1.09763,1.36201,0.67419,0.60471,0.64355,0.3203,1.34403,0.92322,1.18851,0.0013367,0.0013367,0.0013367
69,2681.58,1.48608,1.03983,1.35733,0.68518,0.57723,0.63056,0.32534,1.33908,0.92712,1.17672,0.0013268,0.0013268,0.0013268
70,2721.16,1.52581,1.04842,1.34893,0.6761,0.57592,0.6312,0.3138,1.36336,1.19083,1.16439,0.0013169,0.0013169,0.0013169
71,2759.18,1.48046,1.03644,1.3478,0.67609,0.58508,0.63281,0.30611,1.35946,0.93753,1.17544,0.001307,0.001307,0.001307
72,2797.35,1.54765,1.03368,1.32141,0.6269,0.60602,0.61028,0.31071,1.39029,1.14791,1.204,0.0012971,0.0012971,0.0012971
73,2835.36,1.54971,1.06334,1.33813,0.74747,0.56152,0.64399,0.32537,1.32794,0.92077,1.15326,0.0012872,0.0012872,0.0012872
74,2874.39,1.50691,1.0509,1.33513,0.7038,0.55628,0.63315,0.31278,1.36335,1.09717,1.17528,0.0012773,0.0012773,0.0012773
75,2912.53,1.46641,1.02949,1.33597,0.70047,0.5733,0.63781,0.31958,1.33928,0.91443,1.16829,0.0012674,0.0012674,0.0012674
76,2951.22,1.52722,1.03092,1.33211,0.69069,0.57723,0.63507,0.3234,1.33158,0.90447,1.1662,0.0012575,0.0012575,0.0012575
77,2989.04,1.4917,1.01882,1.3207,0.6632,0.58901,0.61713,0.31259,1.34637,0.92908,1.19761,0.0012476,0.0012476,0.0012476
78,3027.73,1.43835,0.98275,1.29553,0.66308,0.57984,0.62861,0.30793,1.37853,0.9026,1.17942,0.0012377,0.0012377,0.0012377
79,3066.86,1.45746,1.02131,1.3235,0.67235,0.60164,0.63647,0.31621,1.34604,1.05968,1.17666,0.0012278,0.0012278,0.0012278
80,3105.85,1.51847,1.02826,1.33972,0.65804,0.6178,0.6453,0.32788,1.34701,0.98607,1.16422,0.0012179,0.0012179,0.0012179
81,3145.46,1.43921,0.97467,1.30996,0.67638,0.57199,0.62614,0.32572,1.30211,0.90755,1.14794,0.001208,0.001208,0.001208
82,3184.7,1.42464,0.98251,1.31538,0.68811,0.60079,0.64272,0.32419,1.33202,0.91884,1.17123,0.0011981,0.0011981,0.0011981
83,3223.83,1.46488,0.99594,1.33265,0.68911,0.61649,0.63779,0.32478,1.35739,0.89448,1.19198,0.0011882,0.0011882,0.0011882
84,3263.47,1.41655,0.9542,1.29548,0.68124,0.58377,0.63141,0.32009,1.38402,0.97006,1.18261,0.0011783,0.0011783,0.0011783
85,3301.65,1.43978,0.97559,1.2967,0.71839,0.5733,0.64486,0.32451,1.35236,0.88403,1.19025,0.0011684,0.0011684,0.0011684
86,3340.91,1.4489,0.99629,1.3008,0.70215,0.5877,0.63677,0.32582,1.35185,0.90108,1.16016,0.0011585,0.0011585,0.0011585
87,3380.86,1.4221,0.95926,1.29023,0.69217,0.58274,0.63377,0.31794,1.35171,0.94368,1.19213,0.0011486,0.0011486,0.0011486
88,3418.23,1.3872,0.93279,1.28967,0.681,0.60471,0.63584,0.31707,1.3487,0.90485,1.19224,0.0011387,0.0011387,0.0011387
89,3457,1.39932,0.94633,1.29044,0.68142,0.59162,0.62249,0.30803,1.40633,1.40286,1.21641,0.0011288,0.0011288,0.0011288
90,3495.21,1.37952,0.94565,1.29155,0.69837,0.60864,0.64013,0.33028,1.28992,0.90239,1.14886,0.0011189,0.0011189,0.0011189
91,3534.18,1.42838,0.97759,1.28659,0.66944,0.57068,0.61719,0.31559,1.32974,0.90421,1.14371,0.001109,0.001109,0.001109
92,3571.74,1.41028,0.99523,1.30288,0.70897,0.62173,0.66096,0.3424,1.28072,0.87696,1.15796,0.0010991,0.0010991,0.0010991
93,3611.38,1.39408,0.9476,1.2642,0.69012,0.61518,0.65451,0.33387,1.33087,0.88871,1.16296,0.0010892,0.0010892,0.0010892
94,3650,1.34594,0.90274,1.267,0.66502,0.62363,0.64484,0.33962,1.29542,0.95198,1.15538,0.0010793,0.0010793,0.0010793
95,3688.66,1.39753,0.94992,1.28383,0.67962,0.59555,0.6253,0.32481,1.3488,0.9966,1.20714,0.0010694,0.0010694,0.0010694
96,3727.34,1.45003,1.01111,1.27002,0.64662,0.61793,0.62886,0.32509,1.33245,0.87405,1.19843,0.0010595,0.0010595,0.0010595
97,3765.99,1.37894,0.89322,1.24505,0.66597,0.63089,0.64522,0.33326,1.34158,0.87223,1.20838,0.0010496,0.0010496,0.0010496
98,3804.77,1.35868,0.89965,1.24428,0.68503,0.57984,0.63412,0.33036,1.32387,0.85972,1.2045,0.0010397,0.0010397,0.0010397
99,3843.48,1.35301,0.88566,1.24436,0.67603,0.64529,0.66022,0.33962,1.30774,0.8506,1.17981,0.0010298,0.0010298,0.0010298
100,3883.09,1.34632,0.87416,1.21318,0.72762,0.60141,0.65322,0.33856,1.33503,0.85354,1.18357,0.0010199,0.0010199,0.0010199
101,3922.6,1.3362,0.88293,1.23507,0.69165,0.62304,0.6611,0.34292,1.32634,0.83386,1.21519,0.00101,0.00101,0.00101
102,3963.2,1.41838,0.91344,1.25026,0.65771,0.62565,0.64133,0.32647,1.33427,0.87134,1.1727,0.0010001,0.0010001,0.0010001
103,4000.84,1.31819,0.88084,1.22979,0.69679,0.61649,0.65595,0.34263,1.33117,0.85894,1.18136,0.0009902,0.0009902,0.0009902
104,4040.06,1.29506,0.8484,1.22774,0.68024,0.63487,0.65131,0.34635,1.33082,0.85985,1.19653,0.0009803,0.0009803,0.0009803
105,4079.98,1.36858,0.89669,1.23085,0.70132,0.61161,0.65175,0.33581,1.30441,0.85219,1.17066,0.0009704,0.0009704,0.0009704
106,4118.78,1.28171,0.85103,1.20512,0.67171,0.62935,0.65142,0.34064,1.3204,0.88855,1.18333,0.0009605,0.0009605,0.0009605
107,4157.31,1.35095,0.86577,1.21547,0.70186,0.61911,0.64921,0.34417,1.31003,0.82961,1.17806,0.0009506,0.0009506,0.0009506
108,4196.19,1.33997,0.90293,1.23773,0.69081,0.60209,0.65512,0.34532,1.31032,0.86111,1.18011,0.0009407,0.0009407,0.0009407
109,4235.11,1.39781,0.8909,1.21889,0.71059,0.59162,0.63634,0.33635,1.31662,0.86146,1.18731,0.0009308,0.0009308,0.0009308
110,4272.84,1.26924,0.84655,1.21801,0.68696,0.60608,0.64885,0.3358,1.32441,0.85768,1.19998,0.0009209,0.0009209,0.0009209
111,4312.2,1.32331,0.84965,1.23557,0.68137,0.62565,0.64263,0.33186,1.33539,0.84869,1.20586,0.000911,0.000911,0.000911
112,4350.94,1.26327,0.80745,1.21374,0.70271,0.59686,0.65189,0.3495,1.30327,0.85141,1.18572,0.0009011,0.0009011,0.0009011
113,4390.32,1.27221,0.83401,1.19055,0.71537,0.62176,0.66758,0.35393,1.29753,0.85367,1.17119,0.0008912,0.0008912,0.0008912
114,4430.01,1.26306,0.82667,1.19802,0.68728,0.62173,0.65234,0.34449,1.29552,0.84512,1.16251,0.0008813,0.0008813,0.0008813
115,4468.51,1.28922,0.84365,1.2257,0.70525,0.6322,0.6678,0.34808,1.30945,0.83717,1.18995,0.0008714,0.0008714,0.0008714
116,4507.59,1.28971,0.82618,1.20187,0.69961,0.64322,0.65891,0.34221,1.31866,0.83397,1.19032,0.0008615,0.0008615,0.0008615
117,4546.09,1.2677,0.81507,1.18949,0.70556,0.6322,0.66764,0.35375,1.28369,0.81871,1.16237,0.0008516,0.0008516,0.0008516
118,4584.95,1.28469,0.86572,1.19759,0.71549,0.61649,0.65766,0.34182,1.29912,0.83664,1.18821,0.0008417,0.0008417,0.0008417
119,4623.1,1.24802,0.79175,1.1979,0.68397,0.64306,0.65287,0.34048,1.31742,0.84776,1.19616,0.0008318,0.0008318,0.0008318
120,4661.83,1.26435,0.82267,1.21023,0.71506,0.61518,0.64968,0.34074,1.346,0.83882,1.2276,0.0008219,0.0008219,0.0008219
121,4699.04,1.26758,0.80659,1.17793,0.69624,0.63601,0.6665,0.35527,1.28976,0.8197,1.19509,0.000812,0.000812,0.000812
122,4738.6,1.19822,0.79602,1.18215,0.68252,0.6466,0.66928,0.36093,1.28308,0.84006,1.17753,0.0008021,0.0008021,0.0008021
123,4778.22,1.2754,0.79062,1.17488,0.66487,0.63621,0.64769,0.34631,1.34389,0.84867,1.20185,0.0007922,0.0007922,0.0007922
124,4815.52,1.20337,0.77008,1.14892,0.70076,0.63755,0.65321,0.34231,1.33572,0.84603,1.21814,0.0007823,0.0007823,0.0007823
125,4853.39,1.27354,0.79153,1.18895,0.70055,0.62774,0.65904,0.35189,1.32115,0.83308,1.20508,0.0007724,0.0007724,0.0007724
126,4892.05,1.23216,0.78904,1.18243,0.72118,0.62435,0.65399,0.35121,1.31605,0.81789,1.23129,0.0007625,0.0007625,0.0007625
127,4929.96,1.20019,0.77349,1.17811,0.67685,0.63482,0.64291,0.34895,1.30887,0.83349,1.21442,0.0007526,0.0007526,0.0007526
128,4967.87,1.24265,0.7778,1.17269,0.70266,0.64027,0.66059,0.3514,1.31139,0.80862,1.2026,0.0007427,0.0007427,0.0007427
129,5006.32,1.25752,0.76498,1.18203,0.68152,0.65052,0.66458,0.35794,1.30473,0.79553,1.20965,0.0007328,0.0007328,0.0007328
130,5044.29,1.20278,0.76744,1.1552,0.73875,0.62696,0.67001,0.35898,1.29987,0.81306,1.18887,0.0007229,0.0007229,0.0007229
131,5081.92,1.20791,0.76519,1.15092,0.70909,0.61387,0.65624,0.34946,1.31151,0.81371,1.19296,0.000713,0.000713,0.000713
132,5120.73,1.20653,0.7649,1.15417,0.68519,0.65238,0.6617,0.35332,1.30174,0.81872,1.19524,0.0007031,0.0007031,0.0007031
133,5159.42,1.20954,0.77145,1.16353,0.70327,0.62042,0.65449,0.35458,1.31905,0.79479,1.22367,0.0006932,0.0006932,0.0006932
134,5197.65,1.18213,0.73726,1.15228,0.69198,0.64791,0.67054,0.35765,1.30789,0.78868,1.22442,0.0006833,0.0006833,0.0006833
135,5236.62,1.1256,0.72172,1.1614,0.69483,0.64074,0.66512,0.35432,1.31332,0.80445,1.22082,0.0006734,0.0006734,0.0006734
136,5275.4,1.21862,0.76462,1.16222,0.67932,0.65183,0.65931,0.34819,1.29973,0.81391,1.20664,0.0006635,0.0006635,0.0006635
137,5313.22,1.23081,0.74854,1.14521,0.70866,0.63677,0.66522,0.34963,1.31279,0.80663,1.22588,0.0006536,0.0006536,0.0006536
138,5352.14,1.14585,0.76698,1.1414,0.72445,0.60733,0.66414,0.35182,1.3225,0.82672,1.2289,0.0006437,0.0006437,0.0006437
139,5391.97,1.13856,0.74876,1.11335,0.65457,0.65838,0.65573,0.35028,1.28973,0.81714,1.21319,0.0006338,0.0006338,0.0006338
140,5431.28,1.22013,0.74226,1.14901,0.68267,0.64482,0.65524,0.34957,1.32792,0.81006,1.25446,0.0006239,0.0006239,0.0006239
141,5469.45,1.16767,0.77847,1.11766,0.6876,0.65445,0.67036,0.35592,1.32136,0.81203,1.24698,0.000614,0.000614,0.000614
142,5509.21,1.136,0.72766,1.11614,0.71736,0.59162,0.65273,0.34781,1.31746,0.81692,1.24156,0.0006041,0.0006041,0.0006041
