epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2715,2.24294,4.98617,1.99788,0.02279,0.46565,0.01827,0.00688,1.75715,502.193,1.52683,0.000657658,0.000657658,0.000657658
2,81.4079,2.21338,2.30565,2.07173,0.3305,0.30153,0.22633,0.06888,2.07535,6.4353,1.88475,0.00131777,0.00131777,0.00131777
3,122.409,2.37781,2.15299,2.1762,0.3384,0.22137,0.1459,0.0481,2.10261,30.6656,2.20715,0.00197128,0.00197128,0.00197128
4,161.252,2.30852,2.11021,2.17729,0.00361,0.4313,0.00256,0.00101,2.30219,inf,2.22633,0.0019703,0.0019703,0.0019703
5,199.81,2.26035,1.9848,2.17823,0.48369,0.30534,0.34215,0.1536,1.91578,12.1954,1.74321,0.0019604,0.0019604,0.0019604
6,240.438,2.26148,1.98041,2.23112,0.4588,0.3855,0.3824,0.16901,1.75443,3.42962,1.67265,0.0019505,0.0019505,0.0019505
7,281.357,2.10437,1.85013,2.10355,0.47303,0.15932,0.19056,0.09158,1.78243,112.619,1.644,0.0019406,0.0019406,0.0019406
8,321.216,2.11866,1.81428,2.09522,0.48616,0.32824,0.35621,0.16003,1.84428,4.62866,1.66271,0.0019307,0.0019307,0.0019307
9,359.218,2.13725,1.72732,2.04233,0.54963,0.43319,0.48577,0.19704,1.68636,2.6216,1.5524,0.0019208,0.0019208,0.0019208
10,399.633,2.11192,1.69732,2.01356,0.4524,0.35632,0.33569,0.11916,1.75831,3.01159,1.59533,0.0019109,0.0019109,0.0019109
11,438.761,1.96665,1.62898,1.93562,0.62807,0.42557,0.48791,0.21845,1.61101,12.3422,1.5088,0.001901,0.001901,0.001901
12,478.787,2.03958,1.68359,1.96154,0.57029,0.37786,0.45877,0.20007,1.60867,2.70941,1.47654,0.0018911,0.0018911,0.0018911
13,517.74,1.99864,1.59461,1.92788,0.4553,0.37966,0.40014,0.18107,1.84006,2.27229,1.61083,0.0018812,0.0018812,0.0018812
14,556.94,1.93952,1.53309,1.85917,0.58759,0.47137,0.52761,0.251,1.60019,3.13555,1.489,0.0018713,0.0018713,0.0018713
15,597.042,1.87545,1.49046,1.82608,0.63382,0.48887,0.57034,0.26991,1.58138,1.31034,1.46406,0.0018614,0.0018614,0.0018614
