epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.68,2.38321,5.14378,1.89911,0.04772,0.15765,0.0213,0.00659,2.31694,18.1294,1.79903,0.000657658,0.000657658,0.000657658
2,84.4572,2.56057,2.53883,2.13186,0.00858,0.22257,0.00518,0.00177,2.46357,50.3529,2.2049,0.00131777,0.00131777,0.00131777
3,127.097,2.62715,2.50644,2.20787,0.25207,0.21638,0.13131,0.04208,2.36427,11.9805,2.23092,0.00197128,0.00197128,0.00197128
4,168.809,2.57471,2.33308,2.14671,0.22385,0.21638,0.15192,0.05274,2.36525,10.3133,2.04512,0.0019703,0.0019703,0.0019703
5,209.746,2.44595,2.40861,2.11754,0.06231,0.15301,0.03129,0.00917,2.67273,4.33124,3.2858,0.0019604,0.0019604,0.0019604
6,250.064,2.5143,2.20424,2.1673,0.29271,0.28748,0.21319,0.0738,2.21283,2.34935,1.88984,0.0019505,0.0019505,0.0019505
7,292.103,2.44771,2.09296,2.08487,0.18572,0.22257,0.09944,0.03181,2.28624,3.76838,1.92955,0.0019406,0.0019406,0.0019406
8,333.79,2.36964,2.04393,2.08249,0.2545,0.21158,0.1404,0.04589,2.24439,3.92025,1.98084,0.0019307,0.0019307,0.0019307
9,373.982,2.27211,1.97657,1.98475,0.34064,0.30757,0.23748,0.08819,2.02999,1.82902,1.76129,0.0019208,0.0019208,0.0019208
10,415.975,2.27357,1.99385,2.00206,0.39647,0.3153,0.29432,0.11696,1.94548,1.82093,1.73781,0.0019109,0.0019109,0.0019109
11,457.673,2.24704,1.82994,1.94952,0.30512,0.29057,0.20779,0.08107,2.02973,3.00054,1.71379,0.001901,0.001901,0.001901
12,497.094,2.14395,1.7941,1.85096,0.29461,0.16977,0.13638,0.04876,1.43264,1.67826,1.12774,0.0018911,0.0018911,0.0018911
13,537.826,2.22687,1.94547,1.92234,0.45028,0.38485,0.36957,0.14321,1.89225,1.62466,1.66117,0.0018812,0.0018812,0.0018812
14,579.762,2.1228,1.76206,1.87241,0.4531,0.37713,0.3646,0.14235,1.96756,1.60125,1.65088,0.0018713,0.0018713,0.0018713
15,620.711,2.10928,1.76368,1.84348,0.4714,0.40958,0.41577,0.17815,1.84942,1.56316,1.6121,0.0018614,0.0018614,0.0018614
16,662.623,2.12612,1.71822,1.85587,0.49117,0.37713,0.38488,0.16638,1.94065,1.4889,1.6625,0.0018515,0.0018515,0.0018515
17,703.804,2.1151,1.69859,1.83453,0.49494,0.39567,0.42949,0.19368,1.85941,1.43337,1.58952,0.0018416,0.0018416,0.0018416
18,746.113,2.02677,1.66126,1.79327,0.44923,0.36785,0.36785,0.15762,1.9088,1.47725,1.69815,0.0018317,0.0018317,0.0018317
19,786.946,2.0033,1.65315,1.82174,0.53913,0.43393,0.45387,0.20863,1.73544,1.41825,1.57536,0.0018218,0.0018218,0.0018218
20,828.988,2.04571,1.63811,1.75097,0.42416,0.42504,0.39696,0.17957,1.81288,1.72581,1.56726,0.0018119,0.0018119,0.0018119
21,869.953,2.02302,1.6237,1.80564,0.55591,0.44049,0.46047,0.19979,1.77208,1.43459,1.5675,0.001802,0.001802,0.001802
22,911.179,1.97279,1.57069,1.75085,0.52518,0.44822,0.47992,0.21925,1.71986,1.3376,1.52912,0.0017921,0.0017921,0.0017921
23,953.506,1.92527,1.55187,1.74009,0.5489,0.40185,0.43174,0.19002,1.79623,1.45884,1.62405,0.0017822,0.0017822,0.0017822
24,994.265,1.97028,1.59056,1.76136,0.59313,0.4745,0.52131,0.24198,1.6964,1.30375,1.51692,0.0017723,0.0017723,0.0017723
25,1036.72,1.91098,1.51103,1.70325,0.60922,0.44359,0.48347,0.22645,1.73619,1.39516,1.55201,0.0017624,0.0017624,0.0017624
26,1076.92,1.91958,1.51232,1.71598,0.45455,0.39104,0.39553,0.17518,1.83452,1.54335,1.56797,0.0017525,0.0017525,0.0017525
27,1117.78,1.92432,1.52489,1.73667,0.60413,0.46677,0.50094,0.22529,1.72748,1.54363,1.53746,0.0017426,0.0017426,0.0017426
28,1158.7,1.88668,1.47487,1.66822,0.51535,0.49798,0.4935,0.22303,1.67744,1.28662,1.50072,0.0017327,0.0017327,0.0017327
29,1199.17,1.93913,1.49685,1.73072,0.56735,0.46986,0.51643,0.24253,1.69335,1.29028,1.48914,0.0017228,0.0017228,0.0017228
30,1242.24,1.87505,1.49409,1.65246,0.62837,0.47604,0.52367,0.2351,1.6905,1.27518,1.50386,0.0017129,0.0017129,0.0017129
31,1282.91,1.83748,1.37429,1.62821,0.58911,0.47604,0.51518,0.24384,1.69305,1.2732,1.54462,0.001703,0.001703,0.001703
32,1326.25,1.84621,1.42982,1.67105,0.54948,0.48377,0.48617,0.23371,1.66537,1.39196,1.49879,0.0016931,0.0016931,0.0016931
33,1365.85,1.76458,1.42463,1.62496,0.60922,0.47469,0.52042,0.23582,1.67425,1.26453,1.50482,0.0016832,0.0016832,0.0016832
34,1405.9,1.83957,1.40642,1.65244,0.60108,0.46677,0.52244,0.24317,1.67653,1.28062,1.49239,0.0016733,0.0016733,0.0016733
35,1447.52,1.85747,1.3909,1.65434,0.597,0.51468,0.53276,0.2507,1.64762,1.30447,1.47184,0.0016634,0.0016634,0.0016634
