epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6638,2.23071,4.96247,1.74588,0.1644,0.1369,0.1013,0.02723,1.51654,428.753,1.18395,0.000657658,0.000657658,0.000657658
2,78.5336,2.41784,2.20393,1.9203,0.16822,0.12647,0.0939,0.03237,1.81899,25.3726,1.34145,0.00131777,0.00131777,0.00131777
3,117.78,2.47998,2.28317,1.91852,0.02603,0.16688,0.0089,0.00213,2.38818,3047.86,1.98731,0.00197128,0.00197128,0.00197128
4,154.518,2.4949,2.38562,1.93105,0.23616,0.23662,0.13775,0.04907,1.57505,24.8821,1.21412,0.0019703,0.0019703,0.0019703
5,193.448,2.44029,2.10643,1.94856,0.28767,0.22425,0.1571,0.05024,1.76054,5.81566,1.27684,0.0019604,0.0019604,0.0019604
6,232.639,2.40867,1.93958,1.88062,0.4093,0.30639,0.28374,0.10338,1.47552,1.72357,1.1588,0.0019505,0.0019505,0.0019505
7,270.87,2.31078,1.82437,1.81761,0.39173,0.31291,0.2943,0.10774,1.46243,1.22834,1.12373,0.0019406,0.0019406,0.0019406
8,310.317,2.25883,1.80607,1.80122,0.49869,0.36245,0.37033,0.14738,1.35871,12.9638,1.0815,0.0019307,0.0019307,0.0019307
9,349.098,2.1925,1.70326,1.78692,0.47983,0.39929,0.37688,0.15134,1.35761,11.4302,1.08595,0.0019208,0.0019208,0.0019208
10,388.166,2.18721,1.75697,1.73578,0.49163,0.41721,0.41273,0.15922,1.36122,2.68715,1.09314,0.0019109,0.0019109,0.0019109
11,426.678,2.12943,1.6766,1.72246,0.48191,0.39244,0.41956,0.17329,1.33917,1.39315,1.06699,0.001901,0.001901,0.001901
12,464.6,2.10312,1.64809,1.6845,0.44511,0.40684,0.36502,0.1499,1.39308,1.58741,1.05792,0.0018911,0.0018911,0.0018911
13,502.909,2.15925,1.72141,1.67862,0.40269,0.37005,0.35481,0.13581,1.38598,1.80379,1.05611,0.0018812,0.0018812,0.0018812
14,540.55,2.11471,1.64839,1.7276,0.50682,0.47327,0.45431,0.19104,1.30754,1.29023,1.05166,0.0018713,0.0018713,0.0018713
15,579.296,2.05569,1.62427,1.67047,0.50775,0.45186,0.43517,0.18518,1.30151,4.38589,1.05549,0.0018614,0.0018614,0.0018614
16,616.305,2.03293,1.57659,1.63434,0.54573,0.43416,0.45797,0.19321,1.29043,1.61658,1.0416,0.0018515,0.0018515,0.0018515
17,654.654,2.08185,1.53416,1.60088,0.55608,0.46415,0.48051,0.20464,1.25827,1.32125,1.01165,0.0018416,0.0018416,0.0018416
18,693.67,2.05786,1.51413,1.61534,0.52844,0.46284,0.45996,0.19239,1.2657,1.37366,1.01747,0.0018317,0.0018317,0.0018317
19,733.416,1.94539,1.55886,1.60829,0.51338,0.4472,0.44076,0.18919,1.2517,1.12521,1.00096,0.0018218,0.0018218,0.0018218
20,771.312,1.97737,1.47307,1.59121,0.55897,0.41199,0.45339,0.19398,1.25421,0.94718,1.00085,0.0018119,0.0018119,0.0018119
