epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.705,1.73063,1.20653,1.4327,0.69502,0.62111,0.67977,0.36336,0.95779,0.65814,0.8387,0.00066365,0.00066365,0.00066365
2,262.501,1.71866,1.18422,1.41423,0.64423,0.58806,0.62857,0.32687,1.00833,0.92018,0.88336,0.00131715,0.00131715,0.00131715
3,388.117,1.71932,1.19718,1.41901,0.64335,0.55402,0.59346,0.30521,1.0427,6.12603,0.88141,0.00195744,0.00195744,0.00195744
4,512.837,1.77057,1.218,1.43352,0.67141,0.5777,0.62539,0.32324,1.04045,0.92257,0.89916,0.0019406,0.0019406,0.0019406
5,638.101,1.76551,1.20551,1.42576,0.70336,0.58372,0.65548,0.33681,0.99015,0.72425,0.85267,0.0019208,0.0019208,0.0019208
6,762.789,1.69414,1.16716,1.39398,0.65988,0.60829,0.64484,0.33292,1.05458,1.41495,0.89993,0.001901,0.001901,0.001901
7,888.549,1.68909,1.1542,1.40338,0.68564,0.60237,0.651,0.33261,1.03815,1.99249,0.88863,0.0018812,0.0018812,0.0018812
8,1015.61,1.67246,1.13365,1.38201,0.67444,0.60138,0.63411,0.32951,0.99595,1.49751,0.87919,0.0018614,0.0018614,0.0018614
9,1141.31,1.65954,1.12825,1.38259,0.69422,0.63619,0.67884,0.35228,1.00026,1.14811,0.88219,0.0018416,0.0018416,0.0018416
10,1266.96,1.63609,1.10854,1.36267,0.68705,0.6221,0.66063,0.35258,1.00278,0.73751,0.87828,0.0018218,0.0018218,0.0018218
11,1392.37,1.65457,1.13242,1.37046,0.68464,0.62062,0.66454,0.34953,0.99201,1.44075,0.86844,0.001802,0.001802,0.001802
12,1518.07,1.62223,1.09143,1.35771,0.70033,0.63246,0.67773,0.35617,0.98439,1.29551,0.87038,0.0017822,0.0017822,0.0017822
