epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.605,1.6728,1.17282,1.46762,0.7519,0.66984,0.73106,0.4265,0.99012,0.60646,0.90992,0.000661871,0.000661871,0.000661871
2,186.188,1.60581,1.10374,1.41171,0.73622,0.67381,0.72951,0.41009,0.99586,0.88915,0.91067,0.00131538,0.00131538,0.00131538
3,273.372,1.60886,1.08224,1.40686,0.74314,0.64444,0.70992,0.39372,1.01854,0.86371,0.92811,0.0019557,0.0019557,0.0019557
4,360.38,1.60878,1.09631,1.40858,0.69712,0.66032,0.70417,0.39196,1.01136,2.47301,0.90198,0.0019406,0.0019406,0.0019406
5,446.424,1.57549,1.06683,1.36885,0.73008,0.67381,0.71442,0.39478,1.0322,0.65447,0.93646,0.0019208,0.0019208,0.0019208
6,533.389,1.55528,1.05319,1.37084,0.72957,0.6627,0.71787,0.40469,1.00894,0.71747,0.92241,0.001901,0.001901,0.001901
7,618.521,1.54831,1.03582,1.36523,0.74589,0.63968,0.71932,0.39834,1.00813,1.42131,0.92671,0.0018812,0.0018812,0.0018812
8,703.996,1.55853,1.03245,1.3586,0.73908,0.66093,0.70857,0.38558,1.05792,0.70454,0.95659,0.0018614,0.0018614,0.0018614
9,789.076,1.52503,1.00683,1.3406,0.76488,0.66429,0.72811,0.40371,0.99631,0.63769,0.92349,0.0018416,0.0018416,0.0018416
10,875.433,1.49549,0.99037,1.32118,0.74847,0.62698,0.72516,0.40266,1.01482,0.79688,0.92214,0.0018218,0.0018218,0.0018218
11,957.76,1.50085,0.98875,1.31901,0.75944,0.66111,0.72534,0.40153,1.02301,0.74523,0.93281,0.001802,0.001802,0.001802
12,1043.09,1.47661,0.99112,1.3306,0.74864,0.66429,0.7232,0.40931,1.01246,0.64726,0.92267,0.0017822,0.0017822,0.0017822
13,1127.63,1.4691,0.98233,1.32988,0.74254,0.67381,0.72767,0.40202,1.00464,0.74113,0.93328,0.0017624,0.0017624,0.0017624
14,1211.91,1.47699,0.96853,1.31823,0.74971,0.65873,0.72845,0.40929,1.00111,0.7496,0.92278,0.0017426,0.0017426,0.0017426
15,1294.13,1.46397,0.95541,1.32009,0.72769,0.66667,0.71214,0.39702,1.01397,0.72617,0.92511,0.0017228,0.0017228,0.0017228
16,1377.28,1.45142,0.93741,1.30831,0.76236,0.64841,0.72742,0.40316,1.00231,1.79096,0.92223,0.001703,0.001703,0.001703
17,1459.26,1.43675,0.93441,1.2966,0.73353,0.67507,0.72213,0.40206,1.00853,0.78698,0.91423,0.0016832,0.0016832,0.0016832
18,1542.2,1.44288,0.95468,1.30245,0.73125,0.66511,0.72996,0.40692,1.01175,0.70751,0.91816,0.0016634,0.0016634,0.0016634
19,1625.27,1.42596,0.92287,1.28553,0.73635,0.67604,0.7309,0.41427,0.99982,0.62896,0.91716,0.0016436,0.0016436,0.0016436
20,1708.21,1.45049,0.94398,1.29758,0.74388,0.64841,0.70609,0.39404,1.01083,0.80578,0.9393,0.0016238,0.0016238,0.0016238
21,1791.5,1.42263,0.92053,1.29085,0.72694,0.6746,0.72806,0.41856,0.98183,0.78685,0.91071,0.001604,0.001604,0.001604
