epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3084,1.77928,1.22212,1.44504,0.72567,0.61211,0.68239,0.38284,1.1628,0.74294,1.04184,0.000661578,0.000661578,0.000661578
2,179.916,1.68767,1.1019,1.35592,0.73538,0.6046,0.68206,0.37235,1.19706,0.74672,1.06392,0.00131509,0.00131509,0.00131509
3,265.217,1.67575,1.11782,1.34596,0.66324,0.62897,0.65809,0.36064,1.19414,0.915,1.05932,0.00195541,0.00195541,0.00195541
4,348.383,1.64169,1.10344,1.31733,0.67768,0.65003,0.67663,0.36125,1.21439,0.85986,1.06201,0.0019406,0.0019406,0.0019406
5,431.887,1.63063,1.07413,1.31791,0.72984,0.61344,0.68425,0.36422,1.22046,0.77018,1.06083,0.0019208,0.0019208,0.0019208
6,515.527,1.63464,1.08616,1.33031,0.71379,0.62409,0.68124,0.37195,1.19026,1.16352,1.05334,0.001901,0.001901,0.001901
7,600.009,1.61469,1.06037,1.31032,0.67414,0.62076,0.66799,0.36293,1.2211,0.79466,1.08434,0.0018812,0.0018812,0.0018812
8,684.067,1.61057,1.05462,1.31842,0.65938,0.63273,0.64799,0.34934,1.24069,0.82454,1.08088,0.0018614,0.0018614,0.0018614
9,767.466,1.60557,1.04768,1.30847,0.66403,0.64566,0.66517,0.36459,1.22244,0.80079,1.07294,0.0018416,0.0018416,0.0018416
10,852.206,1.58171,1.04218,1.29281,0.67718,0.64937,0.68519,0.37412,1.18413,0.86393,1.05218,0.0018218,0.0018218,0.0018218
11,937.664,1.55055,1.01274,1.28013,0.68864,0.61743,0.67459,0.36633,1.20499,0.78055,1.05078,0.001802,0.001802,0.001802
12,1022.32,1.57421,1.03471,1.29593,0.68585,0.63476,0.68615,0.37684,1.16972,0.77785,1.05168,0.0017822,0.0017822,0.0017822
13,1107.22,1.53966,1.00701,1.2749,0.69666,0.64331,0.67821,0.36975,1.19492,0.75304,1.05854,0.0017624,0.0017624,0.0017624
14,1191.64,1.52981,1.00014,1.26882,0.67804,0.65016,0.67315,0.36842,1.20499,0.85341,1.07191,0.0017426,0.0017426,0.0017426
15,1277.16,1.54373,1.0175,1.27639,0.69959,0.63007,0.67974,0.3806,1.19601,0.76685,1.05907,0.0017228,0.0017228,0.0017228
16,1363.4,1.52776,1.00365,1.27623,0.72268,0.62419,0.67198,0.37299,1.19562,0.77107,1.06081,0.001703,0.001703,0.001703
17,1448.21,1.52846,0.99679,1.26571,0.70025,0.62342,0.67809,0.37161,1.19111,0.76918,1.06308,0.0016832,0.0016832,0.0016832
18,1532.64,1.52487,0.98791,1.25995,0.72335,0.63496,0.67903,0.37506,1.18263,0.78878,1.05176,0.0016634,0.0016634,0.0016634
19,1618.2,1.48986,0.98878,1.25172,0.68146,0.65403,0.67228,0.3833,1.16637,0.76693,1.05219,0.0016436,0.0016436,0.0016436
20,1702.95,1.50216,0.9624,1.25035,0.69216,0.64205,0.67576,0.36805,1.17254,0.77378,1.06267,0.0016238,0.0016238,0.0016238
21,1788.23,1.48992,0.97191,1.2489,0.71188,0.62209,0.67864,0.37186,1.20627,0.76337,1.05699,0.001604,0.001604,0.001604
