epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.105,1.82203,1.29525,1.53938,0.68734,0.60962,0.67307,0.36013,1.03156,0.70017,0.96675,0.000662132,0.000662132,0.000662132
2,176.785,1.73601,1.17448,1.45621,0.69704,0.60341,0.66498,0.34977,1.05343,0.74048,0.97767,0.00131564,0.00131564,0.00131564
3,261.423,1.73679,1.19095,1.4464,0.656,0.59799,0.64737,0.33439,1.06254,2.23903,0.98261,0.00195595,0.00195595,0.00195595
4,345.482,1.68603,1.1462,1.44488,0.66474,0.60973,0.65911,0.33673,1.08649,1.11829,1.01432,0.0019406,0.0019406,0.0019406
5,429.17,1.7025,1.16032,1.4126,0.66958,0.58637,0.63165,0.32987,1.08671,0.92063,1.00811,0.0019208,0.0019208,0.0019208
6,513.029,1.68948,1.15347,1.43225,0.66441,0.60418,0.64347,0.3294,1.08137,0.88536,0.9899,0.001901,0.001901,0.001901
7,596.776,1.6669,1.14395,1.42136,0.66292,0.62897,0.65218,0.33439,1.05695,0.75217,0.98365,0.0018812,0.0018812,0.0018812
8,679.971,1.64078,1.10523,1.39416,0.65036,0.59256,0.63634,0.3205,1.09962,0.82188,1.01246,0.0018614,0.0018614,0.0018614
9,763.673,1.65703,1.11131,1.4114,0.69766,0.62432,0.67025,0.33513,1.08567,0.81329,1.01033,0.0018416,0.0018416,0.0018416
10,847.428,1.63854,1.1039,1.3958,0.6722,0.6282,0.66748,0.351,1.06978,0.85633,0.99959,0.0018218,0.0018218,0.0018218
11,930.855,1.60757,1.07233,1.37799,0.66726,0.61038,0.65048,0.33396,1.08495,0.80261,0.98523,0.001802,0.001802,0.001802
12,1014.83,1.63124,1.10409,1.40039,0.69815,0.60263,0.66616,0.34404,1.07997,0.73899,0.98724,0.0017822,0.0017822,0.0017822
13,1098.8,1.61306,1.0832,1.38841,0.6796,0.60627,0.65182,0.33552,1.07226,0.8413,0.99408,0.0017624,0.0017624,0.0017624
14,1183.02,1.61021,1.077,1.38106,0.67782,0.60186,0.65242,0.33235,1.10209,1.20788,1.00518,0.0017426,0.0017426,0.0017426
15,1267.62,1.59253,1.06559,1.36189,0.70379,0.61348,0.65721,0.34942,1.0596,1.06466,0.98846,0.0017228,0.0017228,0.0017228
16,1352.31,1.59041,1.05143,1.35764,0.68161,0.60573,0.64941,0.33971,1.06569,0.95853,0.98989,0.001703,0.001703,0.001703
17,1436.56,1.59336,1.05801,1.37292,0.66331,0.60728,0.65547,0.3407,1.07249,0.74484,0.9885,0.0016832,0.0016832,0.0016832
18,1520.84,1.5651,1.04624,1.36705,0.67086,0.6251,0.6432,0.32752,1.07662,0.83376,1.00386,0.0016634,0.0016634,0.0016634
19,1604.63,1.56128,1.03595,1.34243,0.69645,0.61348,0.66571,0.34782,1.05881,0.75125,0.98559,0.0016436,0.0016436,0.0016436
20,1690.32,1.56213,1.02227,1.34821,0.68208,0.60991,0.66487,0.34802,1.05138,0.76742,0.98399,0.0016238,0.0016238,0.0016238
21,1774.76,1.55427,1.01172,1.35908,0.71617,0.6189,0.66968,0.35291,1.04655,1.1706,0.98108,0.001604,0.001604,0.001604
