epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8828,1.86679,1.28088,1.64837,0.68125,0.56676,0.61304,0.33205,1.49532,0.94812,1.42735,0.00065873,0.00065873,0.00065873
2,102.979,1.83696,1.23853,1.55355,0.676,0.5542,0.59604,0.30552,1.52911,1.04175,1.41491,0.00131228,0.00131228,0.00131228
3,151.976,1.8212,1.22279,1.5703,0.63641,0.53455,0.56068,0.28308,1.58209,1.13062,1.45933,0.00195262,0.00195262,0.00195262
4,201.942,1.85684,1.25867,1.54587,0.65853,0.51774,0.58656,0.30494,1.56952,1.19053,1.43953,0.0019406,0.0019406,0.0019406
5,249.904,1.8208,1.24648,1.53899,0.66782,0.55256,0.60153,0.29707,1.61745,1.14954,1.45451,0.0019208,0.0019208,0.0019208
6,299.597,1.77912,1.19357,1.51897,0.66082,0.51847,0.58697,0.30639,1.55308,1.20264,1.42855,0.001901,0.001901,0.001901
7,348.351,1.75741,1.17969,1.52422,0.62661,0.53157,0.57537,0.29535,1.5555,1.06794,1.44405,0.0018812,0.0018812,0.0018812
8,397.12,1.78463,1.22885,1.53313,0.66529,0.57386,0.60844,0.31055,1.55056,1.12261,1.43244,0.0018614,0.0018614,0.0018614
9,448.212,1.72247,1.14197,1.46839,0.63481,0.5767,0.59655,0.30665,1.55305,1.03978,1.44475,0.0018416,0.0018416,0.0018416
10,497.994,1.74227,1.14023,1.46711,0.63145,0.57921,0.59661,0.30094,1.59105,1.04412,1.43972,0.0018218,0.0018218,0.0018218
11,547.62,1.7115,1.12672,1.48684,0.6726,0.53403,0.58493,0.30047,1.61253,1.02389,1.46689,0.001802,0.001802,0.001802
12,596.942,1.7201,1.13678,1.48254,0.6869,0.55966,0.59428,0.30995,1.53542,1.02407,1.42581,0.0017822,0.0017822,0.0017822
13,644.531,1.66867,1.10361,1.46812,0.65478,0.5767,0.60136,0.3163,1.51697,1.12113,1.41356,0.0017624,0.0017624,0.0017624
14,693.473,1.69224,1.10422,1.45434,0.66773,0.57376,0.61969,0.31146,1.55484,0.9894,1.42084,0.0017426,0.0017426,0.0017426
15,742.327,1.63666,1.05648,1.42086,0.68638,0.56392,0.60751,0.31844,1.54652,0.98404,1.44908,0.0017228,0.0017228,0.0017228
16,792.308,1.66748,1.08905,1.44634,0.67079,0.57528,0.62239,0.32935,1.5028,1.06607,1.38701,0.001703,0.001703,0.001703
17,842.045,1.66954,1.08171,1.4545,0.67895,0.55273,0.60339,0.30506,1.59269,1.03202,1.4446,0.0016832,0.0016832,0.0016832
18,890.138,1.66406,1.0758,1.45875,0.69216,0.5625,0.60633,0.31689,1.57204,1.0057,1.45908,0.0016634,0.0016634,0.0016634
19,941.013,1.62224,1.05689,1.42694,0.68015,0.55824,0.60198,0.31593,1.54541,1.19187,1.42073,0.0016436,0.0016436,0.0016436
20,991.569,1.67258,1.1002,1.45919,0.70905,0.5625,0.62065,0.31882,1.53555,1.0186,1.43192,0.0016238,0.0016238,0.0016238
21,1039.76,1.61549,1.04028,1.41816,0.70477,0.56108,0.62264,0.32306,1.51655,0.98921,1.40519,0.001604,0.001604,0.001604
