epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9258,1.73263,1.24974,1.54233,0.70311,0.60968,0.66765,0.36482,1.23988,0.82201,1.16119,0.000657143,0.000657143,0.000657143
2,93.5145,1.64529,1.12016,1.44932,0.72772,0.6065,0.66098,0.35924,1.25657,1.06137,1.16741,0.0013107,0.0013107,0.0013107
3,137.751,1.62989,1.12539,1.45197,0.69309,0.57791,0.65009,0.34824,1.31553,1.0718,1.18088,0.00195106,0.00195106,0.00195106
4,181.257,1.63997,1.11977,1.43288,0.71493,0.62222,0.68157,0.35794,1.23542,0.89633,1.17237,0.0019406,0.0019406,0.0019406
5,225.037,1.55917,1.10764,1.38189,0.71531,0.5885,0.66599,0.35039,1.28143,0.91673,1.18086,0.0019208,0.0019208,0.0019208
6,268.715,1.64957,1.0934,1.43265,0.70979,0.60683,0.66517,0.34607,1.27074,0.88334,1.16929,0.001901,0.001901,0.001901
7,312.632,1.62749,1.09117,1.42912,0.69882,0.60968,0.65271,0.34917,1.26866,1.72491,1.15043,0.0018812,0.0018812,0.0018812
8,356.301,1.5806,1.0574,1.40668,0.6479,0.5643,0.61604,0.32525,1.25938,4.64614,1.14514,0.0018614,0.0018614,0.0018614
9,399.746,1.5637,1.06267,1.39151,0.67865,0.60514,0.63887,0.33496,1.28832,1.13982,1.18583,0.0018416,0.0018416,0.0018416
10,443.642,1.55846,1.04723,1.36551,0.6798,0.6233,0.66549,0.3535,1.284,0.88257,1.18362,0.0018218,0.0018218,0.0018218
11,487.096,1.55212,1.03608,1.36813,0.69385,0.6233,0.66216,0.34746,1.27846,1.06938,1.16196,0.001802,0.001802,0.001802
12,531.327,1.58399,1.07422,1.39476,0.66903,0.63302,0.64729,0.3471,1.23479,1.8879,1.14578,0.0017822,0.0017822,0.0017822
13,575.359,1.521,1.01531,1.35717,0.70781,0.58638,0.65027,0.34364,1.32742,1.68638,1.21367,0.0017624,0.0017624,0.0017624
14,618.918,1.53198,1.02378,1.36155,0.70327,0.59519,0.65818,0.35421,1.26475,1.31835,1.1557,0.0017426,0.0017426,0.0017426
15,662.456,1.53084,1.02158,1.3584,0.70815,0.60817,0.66975,0.36668,1.23439,1.31172,1.13391,0.0017228,0.0017228,0.0017228
16,706.816,1.52293,1.00695,1.36796,0.6968,0.6293,0.66916,0.3603,1.24691,0.97384,1.15743,0.001703,0.001703,0.001703
17,751.182,1.4549,0.99143,1.32493,0.75991,0.57461,0.67723,0.35655,1.27111,1.17259,1.20345,0.0016832,0.0016832,0.0016832
18,794.161,1.51525,0.99743,1.34228,0.73146,0.63459,0.69313,0.3691,1.20813,0.95297,1.15679,0.0016634,0.0016634,0.0016634
19,838.572,1.47809,0.96085,1.34128,0.75376,0.59758,0.67935,0.36692,1.24317,0.97407,1.16205,0.0016436,0.0016436,0.0016436
20,883.405,1.51346,1.00219,1.35899,0.7347,0.58245,0.66503,0.35897,1.26718,0.84214,1.17491,0.0016238,0.0016238,0.0016238
21,928.797,1.45272,0.94511,1.3059,0.73856,0.59607,0.67976,0.36803,1.23846,0.93902,1.15966,0.001604,0.001604,0.001604
22,973.405,1.43728,0.93949,1.30723,0.68509,0.62533,0.68156,0.36594,1.23665,0.88256,1.15512,0.0015842,0.0015842,0.0015842
23,1017.07,1.48531,0.97187,1.33316,0.70063,0.64439,0.70388,0.38508,1.2075,0.83796,1.12945,0.0015644,0.0015644,0.0015644
24,1061.38,1.4328,0.95515,1.31075,0.71903,0.63493,0.68027,0.35864,1.2545,0.95405,1.16075,0.0015446,0.0015446,0.0015446
25,1104.68,1.43941,0.9415,1.29691,0.74834,0.60363,0.68784,0.36981,1.22443,1.29684,1.15124,0.0015248,0.0015248,0.0015248
26,1147.59,1.41065,0.91917,1.2942,0.73363,0.61668,0.69279,0.3718,1.26713,0.8335,1.17987,0.001505,0.001505,0.001505
27,1190.98,1.40545,0.89565,1.27945,0.70673,0.62179,0.68352,0.35413,1.26789,0.88524,1.18274,0.0014852,0.0014852,0.0014852
28,1233.55,1.44979,0.94636,1.31171,0.73813,0.59758,0.67185,0.36847,1.22975,0.87441,1.1503,0.0014654,0.0014654,0.0014654
29,1276.2,1.40308,0.92047,1.29266,0.7162,0.62632,0.68464,0.37571,1.26388,1.05582,1.17086,0.0014456,0.0014456,0.0014456
