epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4175,1.80891,1.3246,1.53338,0.72457,0.6148,0.68184,0.38788,0.75534,0.78346,0.70087,0.000662132,0.000662132,0.000662132
2,117.774,1.71481,1.1884,1.45103,0.6953,0.6201,0.66121,0.36389,0.78756,0.53532,0.69666,0.00131564,0.00131564,0.00131564
3,172.96,1.70067,1.18709,1.44726,0.6998,0.60462,0.66078,0.34732,0.8321,0.97079,0.73502,0.00195595,0.00195595,0.00195595
4,227.839,1.72318,1.22256,1.44908,0.62017,0.55905,0.58215,0.30844,0.7949,1.47688,0.72049,0.0019406,0.0019406,0.0019406
5,282.614,1.70001,1.1582,1.42169,0.71666,0.60462,0.68085,0.38045,0.81818,0.61305,0.75297,0.0019208,0.0019208,0.0019208
6,337.512,1.67774,1.12479,1.40934,0.71144,0.60326,0.66313,0.35665,0.75077,0.65431,0.70046,0.001901,0.001901,0.001901
7,392.354,1.66859,1.1264,1.40706,0.67998,0.61549,0.66275,0.36715,0.7726,1.21633,0.6863,0.0018812,0.0018812,0.0018812
8,447.468,1.62041,1.08856,1.38909,0.68123,0.62364,0.67807,0.37476,0.88344,0.73656,0.74458,0.0018614,0.0018614,0.0018614
9,501.031,1.62472,1.08092,1.39523,0.6923,0.65082,0.68127,0.3754,0.79265,0.58679,0.70632,0.0018416,0.0018416,0.0018416
10,558.668,1.59618,1.05446,1.35735,0.697,0.61005,0.67798,0.36247,0.8586,0.60103,0.71996,0.0018218,0.0018218,0.0018218
11,613.157,1.62,1.07497,1.39211,0.70288,0.62676,0.68586,0.38409,0.87358,0.75981,0.75642,0.001802,0.001802,0.001802
12,667.861,1.60451,1.07231,1.36391,0.71159,0.61277,0.67115,0.36775,0.7632,0.61025,0.69456,0.0017822,0.0017822,0.0017822
