epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2638,1.87077,1.34922,1.5048,0.67866,0.6034,0.64409,0.33822,1.38866,0.88282,1.17832,0.000655367,0.000655367,0.000655367
2,86.2536,1.77801,1.19916,1.39902,0.66472,0.59165,0.61859,0.31682,1.44723,0.89551,1.23688,0.00130895,0.00130895,0.00130895
3,128.044,1.78841,1.22187,1.44204,0.59986,0.54974,0.57227,0.26866,1.51428,1.00392,1.21271,0.00194932,0.00194932,0.00194932
4,169.641,1.73478,1.16074,1.41206,0.64031,0.57984,0.60108,0.29574,1.4748,1.04226,1.23906,0.0019406,0.0019406,0.0019406
5,211.598,1.71084,1.15121,1.38044,0.6821,0.59031,0.61858,0.3173,1.4026,1.14084,1.18062,0.0019208,0.0019208,0.0019208
6,253.901,1.76082,1.18664,1.40487,0.68961,0.59031,0.63079,0.31732,1.41347,0.95178,1.20281,0.001901,0.001901,0.001901
7,295.807,1.72282,1.16347,1.38293,0.64978,0.56827,0.60985,0.30821,1.49797,0.96271,1.21466,0.0018812,0.0018812,0.0018812
8,338.014,1.72447,1.15423,1.39741,0.65753,0.57297,0.61849,0.30001,1.44099,0.95718,1.20003,0.0018614,0.0018614,0.0018614
9,380.311,1.71071,1.13858,1.38891,0.6485,0.57984,0.61587,0.31029,1.44361,1.78596,1.21212,0.0018416,0.0018416,0.0018416
10,422.167,1.67673,1.1033,1.36738,0.64903,0.59686,0.63568,0.32172,1.42571,0.89702,1.1918,0.0018218,0.0018218,0.0018218
11,464.679,1.64734,1.11637,1.33876,0.707,0.58431,0.64064,0.32531,1.39124,0.93007,1.19772,0.001802,0.001802,0.001802
12,507.282,1.64585,1.11213,1.35231,0.65187,0.59817,0.63118,0.32085,1.43543,1.78921,1.22636,0.0017822,0.0017822,0.0017822
13,549.2,1.64625,1.09392,1.34817,0.68468,0.62827,0.65854,0.33686,1.40622,0.92671,1.18314,0.0017624,0.0017624,0.0017624
14,592.328,1.63539,1.10322,1.34521,0.70158,0.60004,0.65702,0.33371,1.40096,0.90509,1.19603,0.0017426,0.0017426,0.0017426
15,634.168,1.59334,1.05611,1.29042,0.66049,0.62435,0.64121,0.31977,1.44002,0.88076,1.19298,0.0017228,0.0017228,0.0017228
16,676.115,1.60211,1.05141,1.31914,0.70337,0.58246,0.64841,0.32648,1.41795,0.97878,1.19409,0.001703,0.001703,0.001703
17,717.712,1.60639,1.06483,1.3153,0.66818,0.62202,0.6446,0.33148,1.38478,0.91203,1.16937,0.0016832,0.0016832,0.0016832
18,759.065,1.62698,1.06226,1.32943,0.65871,0.61257,0.63332,0.31627,1.42746,0.93139,1.18941,0.0016634,0.0016634,0.0016634
19,800.721,1.58601,1.04484,1.31753,0.68375,0.60733,0.65216,0.33333,1.39211,0.89171,1.18041,0.0016436,0.0016436,0.0016436
20,843.159,1.59401,1.05637,1.31994,0.68083,0.57237,0.62825,0.31353,1.43579,1.12747,1.2069,0.0016238,0.0016238,0.0016238
21,884.664,1.58058,1.04761,1.31592,0.65594,0.62385,0.63613,0.3126,1.41218,0.98016,1.17876,0.001604,0.001604,0.001604
22,925.606,1.5821,1.04087,1.30069,0.65574,0.6466,0.6498,0.33205,1.36836,0.94821,1.16789,0.0015842,0.0015842,0.0015842
23,967.568,1.58461,1.02882,1.30904,0.65764,0.63358,0.65037,0.32643,1.40727,0.96005,1.17513,0.0015644,0.0015644,0.0015644
24,1009.4,1.57018,1.04286,1.3146,0.71336,0.61649,0.67156,0.33096,1.41074,0.88803,1.17779,0.0015446,0.0015446,0.0015446
25,1052.21,1.55985,1.02117,1.29731,0.70815,0.62827,0.67283,0.33971,1.39544,0.88483,1.18396,0.0015248,0.0015248,0.0015248
26,1094.85,1.54851,1.03107,1.30991,0.68125,0.62385,0.64928,0.33135,1.39967,0.95,1.17304,0.001505,0.001505,0.001505
27,1136.89,1.5435,1.00186,1.30128,0.6769,0.61387,0.65866,0.32581,1.38579,0.92205,1.17197,0.0014852,0.0014852,0.0014852
28,1179.48,1.54381,1.00807,1.29497,0.71212,0.59686,0.66324,0.33764,1.35996,1.0182,1.16744,0.0014654,0.0014654,0.0014654
29,1221.7,1.50525,0.98167,1.2789,0.69761,0.58639,0.64385,0.32729,1.3979,0.89683,1.20232,0.0014456,0.0014456,0.0014456
30,1263.25,1.54393,0.98608,1.28994,0.67754,0.58579,0.63675,0.3318,1.41267,0.88935,1.18851,0.0014258,0.0014258,0.0014258
31,1305.89,1.55334,1.00325,1.28779,0.68153,0.60733,0.64789,0.32955,1.40714,0.90343,1.18125,0.001406,0.001406,0.001406
32,1347.39,1.50989,0.97404,1.26303,0.69639,0.61546,0.65795,0.33282,1.39115,0.86474,1.17226,0.0013862,0.0013862,0.0013862
33,1388.69,1.51179,0.9691,1.27358,0.66597,0.63482,0.65392,0.34067,1.38663,0.89248,1.18834,0.0013664,0.0013664,0.0013664
34,1431.29,1.47956,0.95542,1.25359,0.66207,0.62827,0.66251,0.34813,1.39636,0.93461,1.19426,0.0013466,0.0013466,0.0013466
35,1473.25,1.50049,0.97264,1.26768,0.69628,0.61514,0.6559,0.34292,1.37436,0.9085,1.17182,0.0013268,0.0013268,0.0013268
36,1515.31,1.47412,0.94262,1.25985,0.66953,0.61524,0.64959,0.34462,1.3804,0.89084,1.17447,0.001307,0.001307,0.001307
37,1556.64,1.46311,0.91754,1.24663,0.67988,0.60878,0.6531,0.33828,1.37292,0.88021,1.17518,0.0012872,0.0012872,0.0012872
38,1598.61,1.46219,0.93531,1.26085,0.71204,0.61911,0.66204,0.35,1.35714,0.9668,1.18026,0.0012674,0.0012674,0.0012674
39,1640.9,1.44978,0.90348,1.23606,0.70267,0.61126,0.65945,0.34322,1.37389,1.08709,1.17057,0.0012476,0.0012476,0.0012476
40,1683.66,1.44715,0.92265,1.23551,0.69547,0.62958,0.67098,0.3546,1.39434,0.84856,1.19833,0.0012278,0.0012278,0.0012278
41,1726.53,1.46722,0.94143,1.25769,0.69389,0.61257,0.6623,0.34283,1.38132,0.85827,1.17198,0.001208,0.001208,0.001208
42,1769.03,1.44785,0.92811,1.23582,0.68201,0.65408,0.66785,0.34823,1.38204,0.97968,1.17885,0.0011882,0.0011882,0.0011882
43,1811.21,1.41262,0.904,1.21591,0.69322,0.60864,0.65772,0.3416,1.42249,0.91441,1.21834,0.0011684,0.0011684,0.0011684
44,1853.08,1.44514,0.92702,1.24589,0.69857,0.62435,0.65857,0.34906,1.33753,0.96992,1.16002,0.0011486,0.0011486,0.0011486
45,1894.13,1.45522,0.91135,1.24995,0.73137,0.60079,0.65877,0.35047,1.36884,0.91426,1.16915,0.0011288,0.0011288,0.0011288
46,1934.71,1.39286,0.89806,1.21768,0.67344,0.62892,0.66415,0.35104,1.36474,0.98394,1.17288,0.001109,0.001109,0.001109
47,1976.66,1.41188,0.88774,1.22201,0.67082,0.64816,0.66766,0.35151,1.37599,0.85663,1.18983,0.0010892,0.0010892,0.0010892
48,2018.95,1.39241,0.8816,1.20878,0.70013,0.62827,0.67299,0.35307,1.4005,1.00617,1.20362,0.0010694,0.0010694,0.0010694
49,2060.86,1.37857,0.87275,1.20532,0.70738,0.61067,0.66815,0.35967,1.38789,1.14135,1.19698,0.0010496,0.0010496,0.0010496
50,2104.96,1.38183,0.88344,1.21364,0.69527,0.63611,0.67633,0.3553,1.39959,0.97431,1.19532,0.0010298,0.0010298,0.0010298
51,2147.53,1.39431,0.87929,1.22499,0.68549,0.65052,0.66232,0.33951,1.40768,0.85883,1.20051,0.00101,0.00101,0.00101
52,2190.76,1.40952,0.89109,1.21811,0.69724,0.63743,0.6742,0.35488,1.38986,0.86199,1.20427,0.0009902,0.0009902,0.0009902
53,2233.59,1.40093,0.88055,1.21757,0.69692,0.63482,0.66385,0.34774,1.36689,0.8327,1.17838,0.0009704,0.0009704,0.0009704
