epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2657,1.81737,1.33809,1.70503,0.75159,0.63931,0.71393,0.39492,1.59304,1.08038,1.61314,0.000654762,0.000654762,0.000654762
2,86.5261,1.69625,1.15067,1.5682,0.75593,0.62405,0.70522,0.35596,1.70549,1.11507,1.66963,0.00130835,0.00130835,0.00130835
3,128.408,1.61996,1.10788,1.55626,0.72241,0.62023,0.6969,0.35632,1.70628,1.14481,1.68493,0.00194873,0.00194873,0.00194873
4,170.466,1.62897,1.10054,1.53942,0.73089,0.62786,0.7023,0.35022,1.68332,1.13119,1.64223,0.0019406,0.0019406,0.0019406
5,212.357,1.64638,1.15048,1.5437,0.74183,0.63168,0.6949,0.3569,1.71575,1.12879,1.70112,0.0019208,0.0019208,0.0019208
6,253.634,1.61479,1.11905,1.52993,0.71089,0.57824,0.65633,0.3381,1.65682,1.25373,1.64985,0.001901,0.001901,0.001901
7,295.24,1.59502,1.09564,1.53354,0.74286,0.58992,0.68933,0.36743,1.65048,1.14751,1.62895,0.0018812,0.0018812,0.0018812
8,337.173,1.58436,1.07132,1.4811,0.75798,0.62214,0.72543,0.38575,1.60296,1.10832,1.59076,0.0018614,0.0018614,0.0018614
9,379.706,1.56704,1.05746,1.48138,0.69816,0.56107,0.64002,0.32701,1.87442,1.24953,1.79077,0.0018416,0.0018416,0.0018416
10,423.306,1.56969,1.0217,1.48527,0.72122,0.61069,0.69805,0.36047,1.68375,1.13864,1.64679,0.0018218,0.0018218,0.0018218
11,465.479,1.5476,1.03406,1.48521,0.70337,0.61832,0.67881,0.36308,1.66428,1.29597,1.65112,0.001802,0.001802,0.001802
12,507.526,1.53007,1.03028,1.46283,0.73398,0.63713,0.70679,0.37972,1.64909,1.12563,1.65345,0.0017822,0.0017822,0.0017822
13,549.511,1.51986,1.02394,1.45368,0.71905,0.60115,0.68851,0.35501,1.71613,1.123,1.67819,0.0017624,0.0017624,0.0017624
14,592.178,1.52243,1.01472,1.45307,0.7338,0.62077,0.69576,0.36186,1.68282,1.12223,1.65913,0.0017426,0.0017426,0.0017426
15,633.673,1.50623,1.00542,1.45122,0.78372,0.62931,0.71974,0.39244,1.63388,1.04126,1.63977,0.0017228,0.0017228,0.0017228
