epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8545,1.93661,1.38611,1.62658,0.67353,0.58733,0.62984,0.33006,1.61648,1.12956,1.51957,0.000657143,0.000657143,0.000657143
2,96.3469,1.83729,1.29317,1.54085,0.70042,0.54405,0.61131,0.31649,1.65019,1.19101,1.53067,0.0013107,0.0013107,0.0013107
3,141.549,1.81828,1.27113,1.52499,0.64815,0.53014,0.58252,0.28541,1.69197,1.22661,1.58198,0.00195106,0.00195106,0.00195106
4,187.826,1.813,1.2754,1.55762,0.63816,0.5796,0.60059,0.29906,1.72836,1.19654,1.59208,0.0019406,0.0019406,0.0019406
5,233.054,1.77946,1.23276,1.51113,0.6355,0.58423,0.61815,0.31896,1.67767,1.20235,1.53313,0.0019208,0.0019208,0.0019208
6,277.771,1.77202,1.263,1.50886,0.68129,0.55837,0.62941,0.31682,1.66659,1.17891,1.54251,0.001901,0.001901,0.001901
7,324.294,1.73547,1.20363,1.48186,0.62733,0.52859,0.56911,0.28657,1.74614,1.29425,1.58094,0.0018812,0.0018812,0.0018812
8,370.288,1.76804,1.22967,1.50076,0.66372,0.55519,0.61343,0.30969,1.70337,1.21449,1.54347,0.0018614,0.0018614,0.0018614
9,415.221,1.74798,1.18918,1.49474,0.65219,0.51314,0.56811,0.28284,1.79479,1.23298,1.61117,0.0018416,0.0018416,0.0018416
10,460.136,1.68239,1.15915,1.42583,0.68565,0.56105,0.64114,0.32808,1.64145,1.19955,1.50175,0.0018218,0.0018218,0.0018218
11,504.853,1.68235,1.15573,1.43524,0.65124,0.55796,0.60318,0.30473,1.71762,1.20107,1.55566,0.001802,0.001802,0.001802
12,549.951,1.71848,1.15741,1.45146,0.65013,0.61174,0.63011,0.31503,1.6754,1.16694,1.57615,0.0017822,0.0017822,0.0017822
13,594.891,1.66096,1.13853,1.4671,0.66104,0.56569,0.61797,0.31717,1.68924,1.20347,1.53964,0.0017624,0.0017624,0.0017624
