epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4182,1.96823,1.36448,1.54647,0.61919,0.60235,0.61609,0.32509,1.45122,0.99322,1.27547,0.000654762,0.000654762,0.000654762
2,83.884,1.85116,1.237,1.43301,0.51534,0.45111,0.43894,0.2018,1.74587,1.32353,1.42629,0.00130835,0.00130835,0.00130835
3,124.535,1.81778,1.25715,1.43287,0.61569,0.57497,0.59425,0.30547,1.49263,1.14915,1.32185,0.00194873,0.00194873,0.00194873
4,165.142,1.83147,1.23973,1.44499,0.67365,0.56248,0.63321,0.31371,1.51095,1.07137,1.31567,0.0019406,0.0019406,0.0019406
5,205.826,1.77506,1.18802,1.41283,0.62702,0.58409,0.61741,0.30714,1.52435,1.186,1.31306,0.0019208,0.0019208,0.0019208
6,246.365,1.75783,1.17156,1.39789,0.62507,0.59061,0.61545,0.31097,1.53806,1.06421,1.33829,0.001901,0.001901,0.001901
7,287.351,1.74087,1.16817,1.40049,0.65227,0.59184,0.62784,0.30857,1.53691,0.98739,1.36781,0.0018812,0.0018812,0.0018812
8,329.268,1.74107,1.12708,1.38901,0.6681,0.57236,0.60496,0.30235,1.56089,1.36306,1.34226,0.0018614,0.0018614,0.0018614
9,370.458,1.73836,1.12525,1.37991,0.65569,0.53585,0.59935,0.29797,1.5358,1.02073,1.34198,0.0018416,0.0018416,0.0018416
10,411.807,1.69481,1.1376,1.37206,0.6495,0.59844,0.61068,0.30484,1.54856,1.05018,1.34306,0.0018218,0.0018218,0.0018218
11,452.875,1.73898,1.1457,1.37696,0.63218,0.60503,0.61416,0.29814,1.57684,1.10638,1.32849,0.001802,0.001802,0.001802
12,494.428,1.75102,1.1381,1.37065,0.60573,0.60291,0.61133,0.30465,1.52654,1.12857,1.32124,0.0017822,0.0017822,0.0017822
