model,test_split,mAP50,mAP95,precision,recall
all_lighting,data_all_lighting,70.27604048172978,40.35998125754242,71.38061117507341,67.09422792303897
all_lighting,day_test,72.9033702677577,44.002590596018464,72.07264826321669,70.32618711607273
all_lighting,led_test,74.15068440385748,43.06914096630248,74.28077163859446,69.50354609929079
all_lighting,shop_test,63.76927275446267,33.82779079790091,64.96990484490055,62.69662921348315
day_led,data_day_led,74.00207251337444,43.44615670586578,77.81665488547605,67.53968253968254
day_led,day_test,70.79187102383607,41.26626627485472,74.15481947052413,67.88321167883211
day_led,led_test,75.29398748037217,45.87592431794401,82.65276759354897,67.73049645390071
day_led,shop_test,29.205436312079247,9.16706171550716,38.833787054179666,34.60674157303371
day_shop,data_day_shop,68.97624074033897,40.64973067443634,72.32720817048204,64.60412508316699
day_shop,day_test,73.52503856725983,44.36116672374468,74.39982396010316,71.04622871046229
day_shop,led_test,15.794295318055566,5.155137764098539,22.05825649118475,27.30496453900709
day_shop,shop_test,61.430422012293086,34.44667335651041,65.39879140060006,58.20224719101124
shop_led,data_shop_led,68.18657534919403,36.34164629948741,72.24789738804789,61.42525174283501
shop_led,day_test,42.3408502113715,17.42092943796759,48.08658820911601,43.79562043795621
shop_led,led_test,71.77537546017348,41.08028004501801,73.59703392220773,64.25002592368719
shop_led,shop_test,62.00767518221936,33.54276687185139,67.47816874865667,59.10112359550562
