model,test_split,mAP50,mAP95,precision,recall
all_lighting,data_all_lighting_shadow,71.3788824737626,40.652961246764576,72.30398760759554,65.51554020720276
all_lighting,day_test,73.44089963590208,44.10202835505162,74.93619169630787,68.38026166535724
all_lighting,led_test,74.1453171810129,43.284222771626965,77.58255181086626,67.49841377439782
all_lighting,shop_test,65.07971774887599,34.842696540140786,69.64669118151151,60.22471910112359
day_led,data_day_led_shadow,73.0712190692027,42.87663705522126,75.28167197952092,66.82539682539682
day_led,day_test,71.17338037399233,41.14004937341807,72.63539723694625,66.52051187328095
day_led,led_test,74.80459289362568,44.39756854557347,84.42595946914882,64.53900709219859
day_led,shop_test,29.536447275291323,9.672118174084574,36.293368290156444,34.157303370786515
day_shop,data_day_shop_shadow,68.2045706626519,38.21796169820906,71.43413745861207,61.743180306054555
day_shop,day_test,71.89588925075563,42.31561256258881,72.6465533249833,68.85644768856449
day_shop,led_test,11.927136771881207,3.9619682776062723,17.40565829862038,31.20567375886525
day_shop,shop_test,60.67677778935714,33.52337172344116,62.26251524288456,59.325842696629216
shop_led,data_shop_led_shadow,67.316871435117,36.12813751216302,68.78222231915855,60.9279143190265
shop_led,day_test,37.687013187022515,15.028202839903654,48.31818884308298,42.579075425790755
shop_led,led_test,71.420605200372,41.578905418510224,74.52913083917011,60.99290780141844
shop_led,shop_test,62.45743879542527,33.01089535990784,68.63020661295836,58.01312222053081
